scenario,pressure_cap,host_stiffness_control,velocity_step,points,max_action_hessian_error,max_normalized_action_hessian_error,min_radial_kinetic,max_radial_kinetic,min_angular_kinetic,negative_radial_kinetic_points,negative_angular_kinetic_points,positive_definite_kinetic_points,full_material_candidate_pass
low_preload_zero_drift,1.0,mixed,0.02,2049,5.551115123125783e-17,1.5759473895484753e-15,-0.022231703641156064,-1.3384998469401696e-06,-0.00038441059538127896,2049,1165,0,False
low_preload_zero_drift,1.0,mixed,0.01,2049,6.245004513516506e-17,1.6141553798989061e-15,-0.02223170364115602,-1.3384998469401691e-06,-0.00038441059538127826,2049,1165,0,False
low_preload_counterflow,0.5,zero,0.04,2049,1.6306400674181987e-16,3.0797364983425473e-15,-0.02223170437516077,-1.3384998469416362e-06,-0.0003843995971930835,2049,1165,0,False
low_preload_counterflow,0.5,zero,0.02,2049,1.734723475976807e-16,3.228314272664577e-15,-0.022231704375160786,-1.3384998469419892e-06,-0.00038439959719308416,2049,1165,0,False
low_preload_counterflow,0.5,zero,0.01,2049,1.5265566588595902e-16,3.583592608728083e-15,-0.022231704375160786,-1.3384998469412834e-06,-0.00038439959719308204,2049,1165,0,False
low_preload_counterflow,0.5,positive,0.04,2049,1.5612511283791264e-16,2.8883928520812492e-15,-0.022231704375160765,-1.3384998469412834e-06,-0.00038439959719308416,2049,1165,0,False
low_preload_counterflow,0.5,positive,0.02,2049,1.942890293094024e-16,3.689502025902374e-15,-0.022231704375160765,-1.3384998469419892e-06,-0.00038439959719308486,2049,1165,0,False
low_preload_counterflow,0.5,positive,0.01,2049,1.5959455978986625e-16,3.807567146773588e-15,-0.022231704375160834,-1.3384998469416362e-06,-0.00038439959719308064,2049,1165,0,False
low_preload_counterflow,0.5,mixed,0.04,2049,1.6653345369377348e-16,3.343488096469211e-15,-0.022231704375160765,-1.3384998469412834e-06,-0.0003843995971930827,2049,1165,0,False
low_preload_counterflow,0.5,mixed,0.02,2049,1.942890293094024e-16,3.689502025902374e-15,-0.022231704375160765,-1.3384998469419892e-06,-0.00038439959719308345,2049,1165,0,False
