scenario,preload_fraction,initial_drift,points,pressure_cap,family,feasible_points,infeasible_points,all_points_algebraically_feasible,min_support_radial_enthalpy,max_support_radial_enthalpy,min_support_angular_enthalpy,negative_support_radial_points,negative_support_angular_points,max_normalized_tensor_error,minimum_host_margin,initial_ordinary_coordinate_mass,reference_coordinate_mass,reference_proper_energy,complete_material_candidate_pass,host_coordinate_mass,host_proper_energy,vacuum_coordinate_mass,vacuum_proper_energy,support_coordinate_mass,support_proper_energy,max_host_required_static_force,max_vacuum_required_static_force,max_ordinary_required_static_force,max_total_required_static_force,force_sum_identity_error,closed_form_weight_error,inner_pressure_matching_error,inner_normal_acceleration_matching_error,outer_pressure_matching_error,outer_normal_acceleration_matching_error
zero_preload,0.0,0.0,2049,0.5,radial_only,380,1669,False,-0.02221963108229399,-1.3384973404050038e-06,-0.00035513327328080737,2049,1162,2.1995327374811902e-16,-1.734723475976807e-18,0.0,-0.8299406760788179,43.35437039828398,False,,,,,,,,,,,,,,,,
zero_preload,0.0,0.0,2049,0.5,two_orientations,2049,0,True,-0.02221963108229399,-1.3384973404050038e-06,-0.00035513327328080737,2049,1162,5.761846219020473e-16,-1.1102230246251565e-16,0.0,-0.8299406760788179,43.35437039828398,False,18.21103709482359,86.97604222745903,-19.040977770902405,-43.62167182917506,-0.8299406760788179,43.35437039828398,0.3668726692618748,0.36687202453063616,0.0,1.9391737208651954e-06,5.466542483232467e-15,,0.0,0.0,0.0,0.0
low_preload_zero_drift,0.01,0.0,513,1.0,radial_only,98,415,False,-0.022231605371972326,-1.3385063529040842e-06,-0.0003843412864190563,513,292,1.563852663568078e-16,-8.673617379884035e-19,0.007686392008042855,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
low_preload_zero_drift,0.01,0.0,513,1.0,two_orientations,513,0,True,-0.022231605371972326,-1.3385063529040842e-06,-0.0003843412864190563,513,292,2.1941018541445324e-16,-1.3877787807814457e-17,0.007686392008042855,-0.829940676517362,43.35437612884015,False,4.819198928692919,54.22118883780787,-5.6568259972183235,-10.87843799804574,-0.8376270685254048,43.34275083976214,0.16150983707934072,0.16151017682256927,6.5561750477674345e-06,3.793483653150263e-06,5.150880673542897e-16,6.938893903907228e-18,0.0,0.0,0.0,0.0
low_preload_zero_drift,0.01,0.0,513,0.5,radial_only,95,418,False,-0.022231605371972326,-1.3385063529040842e-06,-0.0003843412864190563,513,292,1.4949452540083027e-16,-8.673617379884035e-19,0.007686392008042855,-0.829940676517362,43.35437612884015,False,,,,,,,,,,,,,,,,
low_preload_zero_drift,0.01,0.0,513,0.5,two_orientations,513,0,True,-0.022231605371972326,-1.3385063529040842e-06,-0.0003843412864190563,513,292,5.148707996235961e-16,-5.551115123125783e-17,0.007686392008042855,-0.829940676517362,43.35437612884015,False,18.213623853824497,86.97748494989172,-19.051250922349904,-43.63473411012957,-0.8376270685254048,43.34275083976214,0.36122974398759905,0.3612354626824552,6.5561750477674345e-06,3.793483653150263e-06,1.565929079588575e-15,,0.0,0.0,0.0,0.0
low_preload_zero_drift,0.01,0.0,1025,1.0,radial_only,196,829,False,-0.022231605371972326,-1.3385063529040842e-06,-0.00038441059538127896,1025,583,1.563852663568078e-16,-1.734723475976807e-18,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
low_preload_zero_drift,0.01,0.0,1025,1.0,two_orientations,1025,0,True,-0.022231605371972326,-1.3385063529040842e-06,-0.00038441059538127896,1025,583,2.1941018541445324e-16,-2.7755575615628914e-17,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,4.819039480145804,54.220490795082654,-5.656666548374577,-10.87774534556033,-0.8376270682287734,43.342745449522326,0.162549758275508,0.16255170708896016,6.556175046307814e-06,3.7387630223447547e-06,1.356312841860457e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
low_preload_zero_drift,0.01,0.0,1025,0.5,radial_only,190,835,False,-0.022231605371972326,-1.3385063529040842e-06,-0.00038441059538127896,1025,583,1.5337370856742457e-16,-1.734723475976807e-18,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,,,,,,,,,,,,,,,,
low_preload_zero_drift,0.01,0.0,1025,0.5,two_orientations,1025,0,True,-0.022231605371972326,-1.3385063529040842e-06,-0.00038441059538127896,1025,583,5.723028687880028e-16,-5.551115123125783e-17,0.007686392008042856,-0.8299406762207305,43.35437073860058,False,18.213444541822117,86.97815592977524,-19.05107161005089,-43.63541048025291,-0.8376270682287734,43.342745449522326,0.3625104964757663,0.36251409265614276,6.556175046307814e-06,3.7387630223447547e-06,3.1382358937535014e-15,,0.0,0.0,0.0,0.0
low_preload_zero_drift,0.01,0.0,2049,1.0,radial_only,391,1658,False,-0.02223170364115607,-1.3384998469416487e-06,-0.00038441059538127896,2049,1165,1.563852663568078e-16,-1.734723475976807e-18,0.007686392008042855,-0.8299406760788179,43.35437039828398,False,,,,,,,,,,,,,,,,
low_preload_zero_drift,0.01,0.0,2049,1.0,two_orientations,2049,0,True,-0.02223170364115607,-1.3384998469416487e-06,-0.00038441059538127896,2049,1165,2.2172022772550498e-16,-2.7755575615628914e-17,0.007686392008042855,-0.8299406760788179,43.35437039828398,False,4.819213916576435,54.220758006397695,-5.656840984663295,-10.878012897191697,-0.8376270680868607,43.342745109206,0.16433671850171638,0.16433702420392088,6.556175046216727e-06,1.9391737208651954e-06,2.6566377356584134e-15,6.938893903907228e-18,0.0,0.0,0.0,0.0
low_preload_zero_drift,0.01,0.0,2049,0.5,radial_only,380,1669,False,-0.02223170364115607,-1.3384998469416487e-06,-0.00038441059538127896,2049,1165,2.087328498447575e-16,-1.734723475976807e-18,0.007686392008042855,-0.8299406760788179,43.35437039828398,False,,,,,,,,,,,,,,,,
low_preload_zero_drift,0.01,0.0,2049,0.5,two_orientations,2049,0,True,-0.02223170364115607,-1.3384998469416487e-06,-0.00038441059538127896,2049,1165,5.761846219020473e-16,-8.326672684688674e-17,0.007686392008042855,-0.8299406760788179,43.35437039828398,False,18.214023262579573,86.978204724048,-19.051650330666433,-43.635459614841984,-0.8376270680868607,43.342745109206,0.36687244212149606,0.3668735911325178,6.556175046216727e-06,1.9391737208651954e-06,4.857940205026069e-15,,0.0,0.0,0.0,0.0
