beta,B,normalization,stretch,carrier_energy_over_bare_tension,tension_over_energy,target_fermi_momentum_over_bulk_mass,fermi_momentum_over_eta,required_yukawa_g,yukawa_loop_size_g2_over_16pi2,escape_ratio_squared_times_yukawa_loop_size,gauge_coupling,scalar_self_coupling,scalar_quartic_loop_size_g4_over_16pi2,quartic_loop_size_over_scalar_self_coupling,bulk_fermion_mass_over_vector_mass,bulk_fermion_mass_over_higgs_mass,fermion_asymptotic_tail_over_vector_length,fermion_asymptotic_tail_over_higgs_length
1e-12,0.08329151380923958,printed_ringeval_two_branches,2.3349,0.18342707034423192,0.6900069722236839,0.1,0.3883130313428265,3.883130313428265,0.09548698976603094,0.0009548698976603096,1.0,1e-12,1.4398197710383913,1439819771038.3914,3.883130313428265,3883130.313428265,0.2575241929280346,2.575241929280346e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,1.0,0.7749334161387742,0.7749334161387742,0.003802848720196855,0.003802848720196855,0.1,1.0000000000000002e-14,0.002283693556483081,228369355648.30804,7.749334161387742,7749334.1613877425,0.12904334477956247,1.2904334477956246e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,1.0,0.7749334161387742,0.7749334161387742,0.003802848720196855,0.003802848720196855,0.3,9e-14,0.002283693556483081,25374372849.81201,2.5831113871292475,2583111.3871292477,0.3871300343386874,3.871300343386874e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,1.0,0.7749334161387742,0.7749334161387742,0.003802848720196855,0.003802848720196855,1.0,1e-12,0.002283693556483081,2283693556.483081,0.7749334161387742,774933.4161387742,1.2904334477956247,1.2904334477956247e-06
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.5,0.7749334161387742,1.5498668322775484,0.01521139488078742,0.003802848720196855,0.1,1.0000000000000002e-14,0.03653909690372929,3653909690372.9287,15.498668322775483,15498668.322775485,0.06452167238978124,6.452167238978123e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.5,0.7749334161387742,1.5498668322775484,0.01521139488078742,0.003802848720196855,0.3,9e-14,0.03653909690372929,405989965596.9922,5.166222774258495,5166222.774258495,0.1935650171693437,1.935650171693437e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.5,0.7749334161387742,1.5498668322775484,0.01521139488078742,0.003802848720196855,1.0,1e-12,0.03653909690372929,36539096903.729294,1.5498668322775484,1549866.8322775485,0.6452167238978124,6.452167238978123e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.3,0.7749334161387742,2.5831113871292475,0.04225387466885395,0.003802848720196855,0.1,1.0000000000000002e-14,0.2819374761090224,28193747610902.24,25.831113871292473,25831113.871292476,0.03871300343386874,3.871300343386874e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.3,0.7749334161387742,2.5831113871292475,0.04225387466885395,0.003802848720196855,0.3,9e-14,0.2819374761090224,3132638623433.5825,8.610371290430825,8610371.290430825,0.11613901030160621,1.1613901030160621e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.3,0.7749334161387742,2.5831113871292475,0.04225387466885395,0.003802848720196855,1.0,1e-12,0.2819374761090224,281937476109.0224,2.5831113871292475,2583111.3871292477,0.38713003433868737,3.8713003433868736e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.1,0.7749334161387742,7.749334161387742,0.38028487201968547,0.0038028487201968554,0.1,1.0000000000000002e-14,22.836935564830803,2283693556483080.0,77.4933416138774,77493341.61387742,0.01290433447795625,1.2904334477956247e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.1,0.7749334161387742,7.749334161387742,0.38028487201968547,0.0038028487201968554,0.3,9e-14,22.836935564830803,253743728498120.06,25.831113871292473,25831113.871292472,0.03871300343386874,3.871300343386874e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.17,0.7305135510263716,0.1557262864620709,0.1,0.7749334161387742,7.749334161387742,0.38028487201968547,0.0038028487201968554,1.0,1e-12,22.836935564830803,22836935564830.805,7.749334161387742,7749334.161387742,0.12904334477956247,1.2904334477956246e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,1.0,0.9066720968823657,0.9066720968823657,0.0052057196130774735,0.0052057196130774735,0.1,1.0000000000000002e-14,0.004279384147053056,427938414705.30554,9.066720968823656,9066720.968823658,0.11029345707654914,1.1029345707654913e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,1.0,0.9066720968823657,0.9066720968823657,0.0052057196130774735,0.0052057196130774735,0.3,9e-14,0.004279384147053056,47548712745.03396,3.022240322941219,3022240.322941219,0.33088037122964736,3.308803712296474e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,1.0,0.9066720968823657,0.9066720968823657,0.0052057196130774735,0.0052057196130774735,1.0,1e-12,0.004279384147053056,4279384147.0530562,0.9066720968823657,906672.0968823658,1.1029345707654914,1.1029345707654913e-06
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.5,0.9066720968823657,1.8133441937647314,0.020822878452309894,0.0052057196130774735,0.1,1.0000000000000002e-14,0.0684701463528489,6847014635284.889,18.133441937647312,18133441.937647317,0.05514672853827457,5.5146728538274565e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.5,0.9066720968823657,1.8133441937647314,0.020822878452309894,0.0052057196130774735,0.3,9e-14,0.0684701463528489,760779403920.5433,6.044480645882438,6044480.645882438,0.16544018561482368,1.654401856148237e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.5,0.9066720968823657,1.8133441937647314,0.020822878452309894,0.0052057196130774735,1.0,1e-12,0.0684701463528489,68470146352.8489,1.8133441937647314,1813344.1937647315,0.5514672853827457,5.514672853827457e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.3,0.9066720968823657,3.022240322941219,0.05784132903419415,0.0052057196130774735,0.1,1.0000000000000002e-14,0.5283190305003773,52831903050037.73,30.22240322941219,30222403.229412194,0.03308803712296474,3.308803712296474e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.3,0.9066720968823657,3.022240322941219,0.05784132903419415,0.0052057196130774735,0.3,9e-14,0.5283190305003773,5870211450004.192,10.074134409804063,10074134.409804065,0.09926411136889421,9.926411136889422e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.3,0.9066720968823657,3.022240322941219,0.05784132903419415,0.0052057196130774735,1.0,1e-12,0.5283190305003773,528319030500.3773,3.022240322941219,3022240.3229412194,0.33088037122964736,3.308803712296474e-07
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.1,0.9066720968823657,9.066720968823656,0.5205719613077472,0.005205719613077473,0.1,1.0000000000000002e-14,42.79384147053054,4279384147053053.0,90.66720968823655,90667209.68823656,0.011029345707654915,1.1029345707654915e-08
1e-12,0.08329151380923958,printed_ringeval_two_branches,1.0,1.0,0.0,0.1,0.9066720968823657,9.066720968823656,0.5205719613077472,0.005205719613077473,0.3,9e-14,42.79384147053054,475487127450339.3,30.222403229412187,30222403.229412187,0.03308803712296474,3.308803712296474e-08
