amplitude,presheath,s,type_iv,samples_with_type_iv,unresolved,min_null
flat_lapse_1,6.0,-7.0,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-7.0,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-7.0,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-7.0,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.9,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.9,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.9,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.9,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.9,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.9,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.9,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.8,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.8,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.8,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.8,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.8,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.8,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.8,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.7,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.7,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.7,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.7,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.7,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.7,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.7,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.6,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.6,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.6,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.6,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.6,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.6,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.6,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.5,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.5,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.5,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.5,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.5,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.5,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.5,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.4,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.4,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.4,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.4,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.4,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.4,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.4,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.3,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.3,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.3,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.3,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.3,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.3,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.3,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.2,0,0,0,-0.9304875811262054
flat_lapse_1,4.0,-6.2,0,0,0,-0.9634182103024802
flat_lapse_1,5.0,-6.2,0,0,0,-0.996686489428693
flat_lapse_1,6.0,-6.2,0,0,0,-1.0302708989741234
flat_lapse_1,6.5,-6.2,0,0,0,-1.0471753364037573
flat_lapse_1,7.0,-6.2,0,0,0,-1.0641514048724856
flat_lapse_1,8.0,-6.2,0,0,0,-1.0983093699380335
flat_lapse_1,3.0,-6.1,0,0,0,-0.9801103042566446
flat_lapse_1,4.0,-6.1,0,0,0,-1.02630299345119
flat_lapse_1,5.0,-6.1,0,0,0,-1.07249915983016
flat_lapse_1,6.0,-6.1,0,0,0,-1.1186987963038124
flat_lapse_1,6.5,-6.1,0,0,0,-1.1417999136145538
flat_lapse_1,7.0,-6.1,0,0,0,-1.1649018957968607
flat_lapse_1,8.0,-6.1,0,0,0,-1.2111084512484451
flat_lapse_1,3.0,-6.0,0,0,0,-3.1061765080937804
flat_lapse_1,4.0,-6.0,0,0,0,-3.148034293454144
flat_lapse_1,5.0,-6.0,0,0,0,-3.1899043945718875
flat_lapse_1,6.0,-6.0,0,0,0,-3.231786786336022
flat_lapse_1,6.5,-6.0,0,0,0,-3.252732583377304
flat_lapse_1,7.0,-6.0,0,0,0,-3.273681443686759
flat_lapse_1,8.0,-6.0,0,0,0,-3.3155883416154053
flat_lapse_1,3.0,-5.9,0,0,0,-2.6501246916490024
flat_lapse_1,4.0,-5.9,0,0,0,-2.692912335526528
flat_lapse_1,5.0,-5.9,0,0,0,-2.735710399243406
flat_lapse_1,6.0,-5.9,0,0,0,-2.7785188615542897
flat_lapse_1,6.5,-5.9,0,0,0,-2.7999269855551616
flat_lapse_1,7.0,-5.9,0,0,0,-2.821337701257158
flat_lapse_1,8.0,-5.9,0,0,0,-2.864166897193216
flat_lapse_1,3.0,-5.8,0,0,0,-3.309462068158572
flat_lapse_1,4.0,-5.8,0,0,0,-3.3509053681411185
flat_lapse_1,5.0,-5.8,0,0,0,-3.3923618289884345
flat_lapse_1,6.0,-5.8,0,0,0,-3.4338314238664096
flat_lapse_1,6.5,-5.8,0,0,0,-3.4545711381962017
flat_lapse_1,7.0,-5.8,0,0,0,-3.475314125995657
flat_lapse_1,8.0,-5.8,0,0,0,-3.5168099086513815
flat_lapse_1,3.0,-5.7,0,0,0,-3.036377382595027
flat_lapse_1,4.0,-5.7,0,0,0,-3.0783774836068036
flat_lapse_1,5.0,-5.7,0,0,0,-3.1203896102040645
flat_lapse_1,6.0,-5.7,0,0,0,-3.162413737867458
flat_lapse_1,6.5,-5.7,0,0,0,-3.183430294450334
flat_lapse_1,7.0,-5.7,0,0,0,-3.204449842127635
flat_lapse_1,8.0,-5.7,0,0,0,-3.2464978985651287
flat_lapse_1,3.0,-5.6,0,0,0,-2.665890651655933
flat_lapse_1,4.0,-5.6,0,0,0,-2.7086461498174126
flat_lapse_1,5.0,-5.6,0,0,0,-2.751412133361164
flat_lapse_1,6.0,-5.6,0,0,0,-2.7941885809082043
flat_lapse_1,6.5,-5.6,0,0,0,-2.8155807220139497
flat_lapse_1,7.0,-5.6,0,0,0,-2.836975471123148
flat_lapse_1,8.0,-5.6,0,0,0,-2.879772782714106
flat_lapse_1,3.0,-5.5,2,2,0,-2.1836882035000396
flat_lapse_1,4.0,-5.5,0,0,0,-2.2274268795313295
flat_lapse_1,5.0,-5.5,0,0,0,-2.271174036312339
flat_lapse_1,6.0,-5.5,0,0,0,-2.3149296565513966
flat_lapse_1,6.5,-5.5,0,0,0,-2.3368106350736904
flat_lapse_1,7.0,-5.5,0,0,0,-2.35869372299209
flat_lapse_1,8.0,-5.5,0,0,0,-2.4024662184131897
flat_lapse_1,3.0,-5.4,1,1,0,-1.796452741605656
flat_lapse_1,4.0,-5.4,0,0,0,-1.8409809643055628
flat_lapse_1,5.0,-5.4,0,0,0,-1.885516057923437
flat_lapse_1,6.0,-5.4,0,0,0,-1.9300580084499446
flat_lapse_1,6.5,-5.4,0,0,0,-1.9523315506838317
flat_lapse_1,7.0,-5.4,0,0,0,-1.9746068019043175
flat_lapse_1,8.0,-5.4,0,0,0,-2.019162424334293
flat_lapse_1,3.0,-5.3,1,1,0,-1.776240780818141
flat_lapse_1,4.0,-5.3,0,0,0,-1.8208102143261384
flat_lapse_1,5.0,-5.3,0,0,0,-1.8653864347260791
flat_lapse_1,6.0,-5.3,0,0,0,-1.909969428179953
flat_lapse_1,6.5,-5.3,0,0,0,-1.9322634604854532
flat_lapse_1,7.0,-5.3,0,0,0,-1.9545591808779652
flat_lapse_1,8.0,-5.3,0,0,0,-1.9991556790384775
flat_lapse_1,3.0,-5.2,0,0,0,-1.408733982027973
flat_lapse_1,4.0,-5.2,1,1,0,-1.4540527368074754
flat_lapse_1,5.0,-5.2,0,0,0,-1.499376750664008
flat_lapse_1,6.0,-5.2,0,0,0,-1.5447060128746706
flat_lapse_1,6.5,-5.2,0,0,0,-1.5673726087678743
flat_lapse_1,7.0,-5.2,0,0,0,-1.5900405127384276
flat_lapse_1,8.0,-5.2,0,0,0,-1.6353802395760613
flat_lapse_1,3.0,-5.1,1,1,0,-1.4362903054059162
flat_lapse_1,4.0,-5.1,0,0,0,-1.481552874723437
flat_lapse_1,5.0,-5.1,0,0,0,-1.526820817676308
flat_lapse_1,6.0,-5.1,0,0,0,-1.5720941233080539
flat_lapse_1,6.5,-5.1,0,0,0,-1.594732783710716
flat_lapse_1,7.0,-5.1,0,0,0,-1.6173727806845382
flat_lapse_1,8.0,-5.1,0,0,0,-1.6626567788939182
flat_lapse_1,3.0,-5.0,1,1,0,-1.4874012065956408
flat_lapse_1,4.0,-5.0,0,0,0,-1.532559564275191
flat_lapse_1,5.0,-5.0,0,0,0,-1.5777235080705068
flat_lapse_1,6.0,-5.0,0,0,0,-1.6228930265918786
flat_lapse_1,6.5,-5.0,0,0,0,-1.6454798728219031
flat_lapse_1,7.0,-5.0,0,0,0,-1.6680681084728213
flat_lapse_1,8.0,-5.0,0,0,0,-1.7132487423700233
flat_lapse_1,3.0,-4.9,1,1,0,-1.5050217118498124
flat_lapse_1,4.0,-4.9,0,0,0,-1.5501441425221745
flat_lapse_1,5.0,-4.9,0,0,0,-1.5952722325630182
flat_lapse_1,6.0,-4.9,0,0,0,-1.640405970433274
flat_lapse_1,6.5,-4.9,0,0,0,-1.6629749537049092
flat_lapse_1,7.0,-4.9,0,0,0,-1.685545344617406
flat_lapse_1,8.0,-4.9,0,0,0,-1.7306903436233534
flat_lapse_1,3.0,-4.8,1,1,0,-1.4753891206323748
flat_lapse_1,4.0,-4.8,0,0,0,-1.520571970135088
flat_lapse_1,5.0,-4.8,0,0,0,-1.5657603558164126
flat_lapse_1,6.0,-4.8,0,0,0,-1.6109542663884557
flat_lapse_1,6.5,-4.8,0,0,0,-1.6335532899873264
flat_lapse_1,7.0,-4.8,0,0,0,-1.6561536905863439
flat_lapse_1,8.0,-4.8,0,0,0,-1.7013586171681694
flat_lapse_1,3.0,-4.7,2,2,0,-1.4099449513268023
flat_lapse_1,4.0,-4.7,0,0,0,-1.4431682005332394
flat_lapse_1,5.0,-4.7,0,0,0,-1.4765934604876756
flat_lapse_1,6.0,-4.7,0,0,0,-1.5186767384316846
flat_lapse_1,6.5,-4.7,0,0,0,-1.5413698838216776
flat_lapse_1,7.0,-4.7,0,0,0,-1.5640643102089031
flat_lapse_1,8.0,-4.7,0,0,0,-1.6094570007499909
flat_lapse_1,3.0,-4.6,0,0,0,-1.451098912848726
flat_lapse_1,4.0,-4.6,0,0,0,-1.4834176250203146
flat_lapse_1,5.0,-4.6,0,0,0,-1.515963310944993
flat_lapse_1,6.0,-4.6,0,0,0,-1.5487258310605092
flat_lapse_1,6.5,-4.6,0,0,0,-1.5651853762725823
flat_lapse_1,7.0,-4.6,0,0,0,-1.5816955588225314
flat_lapse_1,8.0,-4.6,0,0,0,-1.6148633564106178
flat_lapse_1,3.0,-4.5,0,0,0,-1.4640901600247447
flat_lapse_1,4.0,-4.5,0,0,0,-1.495355419666606
flat_lapse_1,5.0,-4.5,0,0,0,-1.5268784544486602
flat_lapse_1,6.0,-4.5,0,0,0,-1.5586485514043984
flat_lapse_1,6.5,-4.5,0,0,0,-1.5746230307982831
flat_lapse_1,7.0,-4.5,0,0,0,-1.5906554728451185
flat_lapse_1,8.0,-4.5,0,0,0,-1.622889439999963
flat_lapse_1,3.0,-4.4,0,0,0,-1.4427044761192818
flat_lapse_1,4.0,-4.4,0,0,0,-1.472706148326491
flat_lapse_1,5.0,-4.4,0,0,0,-1.5030040460643177
flat_lapse_1,6.0,-4.4,0,0,0,-1.533586809563929
flat_lapse_1,6.5,-4.4,0,0,0,-1.5489815817164065
flat_lapse_1,7.0,-4.4,0,0,0,-1.5644435014389217
flat_lapse_1,8.0,-4.4,0,0,0,-1.5955635999365434
flat_lapse_1,3.0,-4.3,0,0,0,-1.3825361257199071
flat_lapse_1,4.0,-4.3,0,0,0,-1.4109773391628915
flat_lapse_1,5.0,-4.3,0,0,0,-1.439762554269332
flat_lapse_1,6.0,-4.3,0,0,0,-1.4688798066406992
flat_lapse_1,6.5,-4.3,0,0,0,-1.4835592999434364
flat_lapse_1,7.0,-4.3,0,0,0,-1.4983174690197378
flat_lapse_1,8.0,-4.3,0,0,0,-1.5280642568917895
flat_lapse_1,3.0,-4.2,0,0,0,-1.3630123296267727
flat_lapse_1,4.0,-4.2,0,0,0,-1.4084243077339127
flat_lapse_1,5.0,-4.2,0,0,0,-1.4538413548420825
flat_lapse_1,6.0,-4.2,0,0,0,-1.4992634606159336
flat_lapse_1,6.5,-4.2,0,0,0,-1.5219764072784574
flat_lapse_1,7.0,-4.2,0,0,0,-1.5446906147411927
flat_lapse_1,8.0,-4.2,0,0,0,-1.590122806924616
flat_lapse_1,3.0,-4.1,3,3,0,-1.4362903054115872
flat_lapse_1,4.0,-4.1,0,0,0,-1.481552874729096
flat_lapse_1,5.0,-4.1,0,0,0,-1.5268208176819562
flat_lapse_1,6.0,-4.1,0,0,0,-1.5720941233136905
flat_lapse_1,6.5,-4.1,0,0,0,-1.594732783716347
flat_lapse_1,7.0,-4.1,0,0,0,-1.6173727806901632
flat_lapse_1,8.0,-4.1,0,0,0,-1.6626567788995323
flat_lapse_1,3.0,-4.0,1,1,0,-1.4874012065957587
flat_lapse_1,4.0,-4.0,0,0,0,-1.5325595642753078
flat_lapse_1,5.0,-4.0,0,0,0,-1.5777235080706244
flat_lapse_1,6.0,-4.0,0,0,0,-1.6228930265919956
flat_lapse_1,6.5,-4.0,0,0,0,-1.6454798728220195
flat_lapse_1,7.0,-4.0,0,0,0,-1.6680681084729376
flat_lapse_1,8.0,-4.0,0,0,0,-1.7132487423701392
flat_lapse_1,3.0,-3.9,2,2,0,-1.5050217118471823
flat_lapse_1,4.0,-3.9,1,1,0,-1.5501441425195497
flat_lapse_1,5.0,-3.9,0,0,0,-1.5952722325603985
flat_lapse_1,6.0,-3.9,0,0,0,-1.6404059704306602
flat_lapse_1,6.5,-3.9,0,0,0,-1.6629749537022975
flat_lapse_1,7.0,-3.9,0,0,0,-1.6855453446147968
flat_lapse_1,8.0,-3.9,0,0,0,-1.7306903436207495
flat_lapse_1,3.0,-3.8,2,2,0,-1.4753891205324459
flat_lapse_1,4.0,-3.8,0,0,0,-1.5205719700353628
flat_lapse_1,5.0,-3.8,0,0,0,-1.5657603557168909
flat_lapse_1,6.0,-3.8,0,0,0,-1.6109542662891367
flat_lapse_1,6.5,-3.8,0,0,0,-1.6335532898881082
flat_lapse_1,7.0,-3.8,0,0,0,-1.6561536904872272
flat_lapse_1,8.0,-3.8,0,0,0,-1.7013586170692547
flat_lapse_1,3.0,-3.7,5,4,0,-1.6175182507199009
flat_lapse_1,4.0,-3.7,0,0,0,-1.6624113086301167
flat_lapse_1,5.0,-3.7,0,0,0,-1.7073104935842154
flat_lapse_1,6.0,-3.7,0,0,0,-1.7522157930895708
flat_lapse_1,6.5,-3.7,0,0,0,-1.774670731901991
flat_lapse_1,7.0,-3.7,0,0,0,-1.797127194679031
flat_lapse_1,8.0,-3.7,0,0,0,-1.8420446859108626
flat_lapse_1,3.0,-3.6,0,0,0,-1.4510989013855482
flat_lapse_1,4.0,-3.6,0,0,0,-1.4834176135712782
flat_lapse_1,5.0,-3.6,0,0,0,-1.515963299511327
flat_lapse_1,6.0,-3.6,0,0,0,-1.5487258196433396
flat_lapse_1,6.5,-3.6,0,0,0,-1.565185364864051
flat_lapse_1,7.0,-3.6,0,0,0,-1.5829344006563189
flat_lapse_1,8.0,-3.6,0,0,0,-1.6282886163713242
flat_lapse_1,3.0,-3.5,0,0,0,-1.4640900507953503
flat_lapse_1,4.0,-3.5,0,0,0,-1.4953553105673354
flat_lapse_1,5.0,-3.5,0,0,0,-1.526878345492453
flat_lapse_1,6.0,-3.5,0,0,0,-1.5586484426031515
flat_lapse_1,6.5,-3.5,0,0,0,-1.574622922078672
flat_lapse_1,7.0,-3.5,0,0,0,-1.5906553642097585
flat_lapse_1,8.0,-3.5,0,0,0,-1.622889331540507
flat_lapse_1,3.0,-3.4,0,0,0,-1.442704476131066
flat_lapse_1,4.0,-3.4,0,0,0,-1.4727061483383224
flat_lapse_1,5.0,-3.4,0,0,0,-1.5030040460761935
flat_lapse_1,6.0,-3.4,0,0,0,-1.5335868095758458
flat_lapse_1,6.5,-3.4,0,0,0,-1.548981581728343
flat_lapse_1,7.0,-3.4,0,0,0,-1.5644435014508769
flat_lapse_1,8.0,-3.4,0,0,0,-1.595563599948534
flat_lapse_1,3.0,-3.3,1,1,0,-1.4640901600220577
flat_lapse_1,4.0,-3.3,0,0,0,-1.495355419663911
flat_lapse_1,5.0,-3.3,0,0,0,-1.5268784544459584
flat_lapse_1,6.0,-3.3,0,0,0,-1.5586485514016901
flat_lapse_1,6.5,-3.3,0,0,0,-1.5746230307955713
flat_lapse_1,7.0,-3.3,0,0,0,-1.590655472842404
flat_lapse_1,8.0,-3.3,0,0,0,-1.6228894399972433
flat_lapse_1,3.0,-3.2,0,0,0,-1.4510989128459937
flat_lapse_1,4.0,-3.2,0,0,0,-1.483417625017578
flat_lapse_1,5.0,-3.2,0,0,0,-1.5159633109422512
flat_lapse_1,6.0,-3.2,0,0,0,-1.5487258310577638
flat_lapse_1,6.5,-3.2,0,0,0,-1.5651853762698338
flat_lapse_1,7.0,-3.2,0,0,0,-1.5816955588197825
flat_lapse_1,8.0,-3.2,0,0,0,-1.6148633564078658
flat_lapse_1,3.0,-3.1,3,3,0,-1.4362327607491285
flat_lapse_1,4.0,-3.1,0,0,0,-1.4814954473962751
flat_lapse_1,5.0,-3.1,0,0,0,-1.5267635074395465
flat_lapse_1,6.0,-3.1,0,0,0,-1.572036929922952
flat_lapse_1,6.5,-3.1,0,0,0,-1.5946756486620683
flat_lapse_1,7.0,-3.1,0,0,0,-1.6173157039128436
flat_lapse_1,8.0,-3.1,0,0,0,-1.6625998184978645
flat_lapse_1,3.0,-3.0,3,2,0,-1.4871657855875724
flat_lapse_1,4.0,-3.0,0,0,0,-1.5323246232744843
flat_lapse_1,5.0,-3.0,0,0,0,-1.5774890460984603
flat_lapse_1,6.0,-3.0,0,0,0,-1.6226590426717857
flat_lapse_1,6.5,-3.0,0,0,0,-1.6452461275621435
flat_lapse_1,7.0,-3.0,0,0,0,-1.6678346016299657
flat_lapse_1,8.0,-3.0,0,0,0,-1.7130157116316778
flat_lapse_1,3.0,-2.9,3,2,0,-1.505039619714906
flat_lapse_1,4.0,-2.9,0,0,0,-1.5501620138743541
flat_lapse_1,5.0,-2.9,0,0,0,-1.5952900674767305
flat_lapse_1,6.0,-2.9,0,0,0,-1.6404237689828147
flat_lapse_1,6.5,-2.9,0,0,0,-1.662992734100178
flat_lapse_1,7.0,-2.9,0,0,0,-1.6855631068769195
flat_lapse_1,8.0,-2.9,0,0,0,-1.7307080696668327
flat_lapse_1,3.0,-2.8,3,3,0,-1.4874286570200934
flat_lapse_1,4.0,-2.8,0,0,0,-1.5325869587301018
flat_lapse_1,5.0,-2.8,0,0,0,-1.5777508466699945
flat_lapse_1,6.0,-2.8,0,0,0,-1.6229203094498283
flat_lapse_1,6.5,-2.8,0,0,0,-1.6455071278517182
flat_lapse_1,7.0,-2.8,0,0,0,-1.6680953357028858
flat_lapse_1,8.0,-2.8,0,0,0,-1.7132759140856255
flat_lapse_1,3.0,-2.7,3,3,0,-1.4363357586927996
flat_lapse_1,4.0,-2.7,0,0,0,-1.4815982353341717
flat_lapse_1,5.0,-2.7,0,0,0,-1.526866085799855
flat_lapse_1,6.0,-2.7,0,0,0,-1.572139299132987
flat_lapse_1,6.5,-2.7,0,0,0,-1.5947779134569382
flat_lapse_1,7.0,-2.7,0,0,0,-1.6174178643990487
flat_lapse_1,8.0,-2.7,0,0,0,-1.6627017706858134
flat_lapse_1,3.0,-2.6,0,0,0,-1.4377560556626408
flat_lapse_1,4.0,-2.6,0,0,0,-1.4702198242239315
flat_lapse_1,5.0,-2.6,0,0,0,-1.5029077051488153
flat_lapse_1,6.0,-2.6,0,0,0,-1.5358095490679504
flat_lapse_1,6.5,-2.6,0,0,0,-1.5523376794102755
flat_lapse_1,7.0,-2.6,0,0,0,-1.5689157304257293
flat_lapse_1,8.0,-2.6,0,0,0,-1.6022171217631758
flat_lapse_1,3.0,-2.5,1,1,0,-1.446850231269938
flat_lapse_1,4.0,-2.5,0,0,0,-1.4784748293826793
flat_lapse_1,5.0,-2.5,0,0,0,-1.5103488110155043
flat_lapse_1,6.0,-2.5,0,0,0,-1.542461499573143
flat_lapse_1,6.5,-2.5,0,0,0,-1.5586041592569198
flat_lapse_1,7.0,-2.5,0,0,0,-1.574802716611881
flat_lapse_1,8.0,-2.5,0,0,0,-1.6073627623811817
flat_lapse_1,3.0,-2.4,0,0,0,-1.442704476084102
flat_lapse_1,4.0,-2.4,0,0,0,-1.4727061482919053
flat_lapse_1,5.0,-2.4,0,0,0,-1.5030040460303211
flat_lapse_1,6.0,-2.4,0,0,1,-1.5335868095305165
flat_lapse_1,6.5,-2.4,0,0,0,-1.5489815816832835
flat_lapse_1,7.0,-2.4,0,0,0,-1.5644435014060871
flat_lapse_1,8.0,-2.4,0,0,0,-1.5955635999042805
flat_lapse_1,3.0,-2.3,1,1,0,-1.4640901599315335
flat_lapse_1,4.0,-2.3,0,0,0,-1.49535541957446
flat_lapse_1,5.0,-2.3,0,0,0,-1.5268784543575737
flat_lapse_1,6.0,-2.3,0,0,0,-1.5586485513143629
flat_lapse_1,6.5,-2.3,0,0,0,-1.5746230307087699
flat_lapse_1,7.0,-2.3,0,0,0,-1.5906554727561255
flat_lapse_1,8.0,-2.3,0,0,0,-1.6228894399120035
flat_lapse_1,3.0,-2.2,0,0,0,-1.451098912646587
flat_lapse_1,4.0,-2.2,0,0,0,-1.4952177524866948
flat_lapse_1,5.0,-2.2,0,0,0,-1.5404578336867658
flat_lapse_1,6.0,-2.2,0,0,0,-1.5857033343739217
flat_lapse_1,6.5,-2.2,0,0,0,-1.6083281135711633
flat_lapse_1,7.0,-2.2,0,0,0,-1.6309542434982007
