amplitude,presheath,type_iv,samples_with_type_iv,unresolved,transit_min_null,resolved_crossings,samples_with_band,max_band_width,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,standing_type_iv,standing_unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha,worst_packet_norm_over_alpha2,worst_field_norm_over_alpha2,arrival_track_end
flat_lapse_6,6.0,0,0,0,-3.433831356675193,60,49,4.999999999988347e-05,8879.888349958315,1261623.7542634867,5630.701967305715,796108.3785742047,392442.16154614545,48980.34852078059,45227.342471713244,0.0,320279.7331099007,5825.000419625696,322369.0364360042,0,0,25837.73758179089,-25828.552646514392,-25828.552614758035,41652862595.64643,-55732083.08355893,254791563429.26038,213.07026007020664,29449.15254419313,-1.0302708989741234,-1.381303915202613,5.961363345330179,0.0,0.0,0.0,8401810.869297883,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
flat_lapse_6,6.5,0,0,0,-3.454571071073519,60,15,1.8999999999991246e-05,8879.888349958315,2061869.0682850082,13459.268165556019,1299016.9981720818,624598.5122022078,92376.79880138293,84360.2702677572,0.0,519013.31049016566,7077.740274873018,523427.7249043444,0,0,44118.01131261008,-44101.642614976365,-44101.642523951334,117120915308.3459,-159532064.82759836,704884466880.5343,219.33041111209337,49320.89650385162,-1.0471753364037573,-1.606264538055327,6.770875117846261,0.0,0.0,0.0,13852244.29261093,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
flat_lapse_6,7.0,0,0,0,-3.4753140589414384,60,0,0.0,8879.888349958315,3374333.642038767,13782.090058044938,2131051.487774152,1003142.1272228841,138190.13786914045,129915.55359122591,0.0,851346.2085278791,8789.337101436458,860331.2973421067,0,0,75437.71491572734,-75408.72531687844,-75408.72517216894,328417299233.65546,-455167641.7123399,1951328435765.9348,225.72118075624735,82723.55832854923,-1.0641514048724856,-1.8481252592242254,7.6309098020501205,0.0,0.0,0.0,22838489.81216209,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
flat_lapse_6,8.0,0,0,0,-3.5168098417338824,30,0,0.0,8879.888349958315,9062840.364628335,1165.0303766430154,5583479.542013406,2692241.874991496,311225.5401698276,293666.79055745393,0.0,2294116.1493574334,12866.623075430458,2326783.194530946,0,0,217458.75656640567,-217369.1889942118,-217369.18876964506,2565103344503.588,-3675988078.793851,14867884838265.96,238.6856607372549,232832.5689455655,-1.0983093699380335,-2.3825477531947463,9.502768833896047,0.0,0.0,0.0,62081451.84584724,-0.09750004874971385,-0.09750004874971385,3.3416040100250632
flat_lapse_60,3.0,44,41,0,-3.3094619136751833,60,37,0.0020010000000008077,8879.888349958315,72139.07678757996,0.0,43004.680741647375,25601.65440972471,4744.209699961913,3863.2836800795776,0.0,18776.93395947,3323.8843663232315,17335.30324499812,0,0,928.6410175808562,-928.4186092700356,-928.4186092802795,432149990.72124577,-484473.72421108466,3343910257.921313,184.77352238764442,1444.3609771383574,-0.9304875811262054,-0.3946485657453987,4.29636694177292,0.0,0.0,0.0,3294625.527505389,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_60,4.0,2,2,0,-3.3509052139727094,60,60,0.0013910000000003642,8879.888349958315,182045.23114390048,0.0,113628.60890092091,60894.908403793794,10359.256623153144,9056.481015779003,0.0,47734.03550703554,3817.7812006287236,46001.104782220755,0,0,2916.953032614412,-2916.1262466346657,-2916.1262466357985,3650322289.802991,-4498938.234417622,25467791805.694466,193.19158672702315,3840.275752906342,-0.9634182103024802,-0.6514456739419412,4.134633555810517,0.0,0.0,0.0,8955720.702995194,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_60,5.0,0,0,0,-3.392361675134364,60,60,0.00023800000000040455,8879.888349958315,475418.54376561637,0.0,300800.73416650837,154421.01290881235,23600.40455956213,21514.77051982848,0.0,123034.54590689723,4538.795301017132,122762.77180084179,0,0,8790.900866161324,-8788.078299712557,-8788.0782923514,29763087451.627174,-38181128.8200755,193926728802.60416,203.95796409538002,10623.638127045499,-0.996686489428693,-0.9820837211299082,5.046589591263678,0.0,0.0,0.0,24344172.847706303,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_60,6.0,0,0,1,-3.4338312703260385,60,46,5.100000000002325e-05,8879.888349958315,1261623.7542634867,6086.509359685406,798944.8378032529,396960.60717467865,49047.69545626346,44839.305495570705,0.0,319908.7410574761,6606.3874120691635,322252.0686864994,0,0,25837.73758179089,-25828.552646514392,-25828.552614758035,237747459784.35178,-316102836.519453,1476961785555.512,215.3393019141971,29633.344669809136,-1.0302708989741234,-1.3813039152026132,6.536636674379559,0.0,0.0,0.0,66174322.68078613,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_60,6.5,0,0,0,-3.4545709848124404,60,22,1.8999999999991246e-05,8879.888349958315,2061869.0682850082,12966.674572289863,1304528.2222542344,638585.2206164281,92543.35328895353,85221.03423616117,0.0,519695.78456675477,8074.9354000375915,524210.37353252055,0,0,44118.01131261008,-44101.642614976365,-44101.64252365264,668388590990.41,-904483330.4083527,4091635043824.2275,221.2504855273645,49617.84975778218,-1.0471753364037573,-1.6062644434698057,7.35160127006566,0.0,0.0,0.0,109103013.37798603,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_60,7.0,0,0,0,-3.475313972768344,60,0,0.0,8879.888349958315,3374333.642038767,13782.090058044938,2144701.003835682,1017917.9661067022,138434.22847037442,131010.13501908598,0.0,852632.1622727634,9844.25841855058,861252.3589860948,0,0,75437.71491572734,-75408.72531687844,-75408.7251744191,1873906577620.983,-2580326294.244415,11312592483029.008,227.31782087214233,83187.721580196,-1.0641514048724856,-1.8481252592242257,8.23027370280286,0.0,0.0,0.0,179880458.8537662,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_60,8.0,0,0,0,-3.516809755736489,24,0,0.0,8879.888349958315,9062840.364628335,13473.283845106045,5642843.528308724,2660552.201057698,311557.2936927436,296182.4056907602,0.0,2296737.8378801523,12410.206292295496,2314096.984671851,0,0,217458.75656640567,-217369.1889942118,-217369.18876964506,14631720347556.244,-20839256143.44666,85962863786024.73,239.74825344553074,234138.232962962,-1.0983093699380335,-2.3825477531947463,10.169114443928876,0.0,0.0,0.0,488965782.59706765,-0.09750004877976473,-0.09750004877976473,3.3416040100250632
flat_lapse_600,3.0,39,36,0,-3.309461826797089,60,37,0.0020010000000008077,8879.888349958315,72139.07678757996,0.0,42706.12890486576,25904.687507464285,4751.860035675644,3885.632965177925,0.0,18732.11619369986,3552.977133441505,17336.145488119782,0,0,928.6410175808562,-928.4186092700356,-928.4186092833241,3271844875.602983,-3884493.108602383,25942539249.154465,192.471318730318,1459.6628155093163,-0.9304875811262054,-0.3946485657453987,4.29636694177292,0.0,0.0,0.0,27090715.167191207,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
flat_lapse_600,4.0,3,3,0,-3.3509051272717536,60,60,0.0013910000000003642,8879.888349958315,182045.23114390048,0.0,113702.30800897394,61178.678307273534,10362.305147345633,9049.636387076438,0.0,47671.011918446944,3884.2765297971487,45882.88736439028,0,0,2916.953032614412,-2916.1262466346657,-2916.1262466357985,27653599880.51717,-34155814.64417301,196614937104.12003,199.78713058042626,3869.2012264052632,-0.9634182103024802,-0.6514456739419412,4.276274907189397,0.0,0.0,0.0,73640198.7589357,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
flat_lapse_600,5.0,1,1,0,-3.3923615886101857,60,60,0.00023800000000040455,8879.888349958315,475418.54376561637,0.0,301016.31116098113,155173.8132259922,23608.673462555067,21514.66609927126,0.0,122966.7172332962,4665.268113291601,122477.22078654573,0,0,8790.900866161324,-8788.078299712557,-8788.0782923514,225475464620.9421,-287911472.06750053,1492332167047.968,209.4131242279912,10686.189857237483,-0.996686489428693,-0.9820837211299082,5.604120237586338,0.0,0.0,0.0,200174814.13052726,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
flat_lapse_600,6.0,0,0,1,-3.433831183978277,60,49,5.100000000002325e-05,8879.888349958315,1261623.7542634867,6177.670838161343,799543.4385072578,398899.84323492064,49070.15482008734,44917.92515744516,0.0,319794.75436015066,6667.258676303621,322330.32702946087,0,0,25837.73758179089,-25828.552646514392,-25828.552614758035,1800679344435.2603,-2381116234.721828,11389647822630.07,220.09066025791742,29820.01489422559,-1.0302708989741234,-1.381303915202613,7.163255811903974,0.0,0.0,0.0,544131559.7661791,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
flat_lapse_600,6.5,0,0,0,-3.454570898552751,60,24,1.8999999999991246e-05,8879.888349958315,2061869.0682850082,12720.377775656785,1304553.6962347142,643223.6072027665,92580.37578263214,84656.47830244062,0.0,519890.77716006595,8029.368675592037,524489.6995958026,0,0,44118.01131261008,-44101.642614976365,-44101.64252365264,5061554559925.647,-6812041387.154907,31509649424584.145,225.63487972455096,49911.204720483154,-1.0471753364037573,-1.6062644434698057,8.013224897322958,0.0,0.0,0.0,897121276.6457376,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
flat_lapse_600,7.0,0,0,0,-3.4753138865966378,60,0,0.0,8879.888349958315,3374333.642038767,13782.090058044938,2150228.8917692057,1023199.4521941539,138525.77283116675,130942.4587858927,0.0,853114.3949270952,10039.54834547454,861482.624397092,0,0,75437.71491572734,-75408.72531687844,-75408.7251744191,14188396183369.729,-19431305617.140606,86988779038555.61,231.3535145712342,83644.58421772292,-1.0641514048724856,-1.8481252592242257,8.910140965737268,0.0,0.0,0.0,1479102931.2034817,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
flat_lapse_600,8.0,0,0,0,-3.516809669740482,20,0,0.0,8879.888349958315,9062840.364628335,14879.941384358961,5659084.275588493,2661965.1258937716,311723.1808395311,296592.5263741896,0.0,2296737.8378801523,11503.245658663443,2311816.430958358,0,0,217458.75656640565,-217369.1889942118,-217369.18876964506,110748940694515.25,-156906132253.92673,660909938460058.4,243.22500061043112,235471.20386769442,-1.0983093699380335,-2.3825477531947463,10.87999363116305,0.0,0.0,0.0,4020618620.3109336,-0.0975000488098156,-0.0975000488098156,3.3416040100250632
