zone,axial_zone,coord_volume,proper_volume,proper_volume_ordinary,proper_volume_nec_respecting,proper_volume_nec_violating,proper_volume_negative_rest_energy,proper_volume_nec_respecting_negative_energy,proper_volume_without_static_frame,proper_volume_violating_z,proper_volume_violating_r,proper_volume_violating_phi,type_iv,unresolved,eulerian_positive,eulerian_negative,rest_negative,killing_energy,komar_density,komar_abs,nec_content_coord,nec_content_proper,min_null,min_rest_energy,max_abs_component,max_source_speed,max_static_frame_speed,max_source_speed_vs_static,max_alpha
service_region,track,59.650990510036195,59.650990510036195,0.0,44.257186507446214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6908741666431781,0.6908741666431781,0.0,0.0,0.0,-0.0,0.06145743522785831,,0.0,,1.0726166375891122
conformal_rise,track,214.25661897482388,75921.9851198206,0.0,23314.819110619206,50460.70090709225,20152.34723704576,16147.85924031497,0.0,0.0,0.0,0.0,0,0,10333.869156097371,-10329.551064566313,-10329.55106456559,8014250.928187039,-9249.252823189832,31708740.941295147,25.4722044083019,8346.575133256283,-0.3518336387926221,-1.8481252592242254,5.190584280521567,,0.0,,1176.2669710622615
sheath_rise,track,1217.3671532660449,1335005.186253204,0.0,971902.6030011729,345182.9555550958,244.0906012339635,244.0906012339635,0.0,345182.9555550958,0.0,343897.0018102114,0,0,0.0,0.0,-3.761117981360576e-45,0.0,-30054933.48451968,135290569169.34715,11.226021032794284,12310.826901777502,-0.06173591667105917,-1.5408696452656544e-47,0.3838850843893248,0.0,0.0,0.0,3506402.4222814264
sheath_plateau,track,175.30087007031045,192240.74682046135,0.0,24805.257654253077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6052.31078722025,6052.31078722025,0.0,0.0,0.0,-0.0,5.110362239441152e-08,,0.0,,3506402.4222814264
outer_falls,track,1753.0087007031045,211903.4668906476,7406.544765003422,80914.64266361612,118258.03849227783,53190.2241113777,52994.850535488564,0.0,108878.4793778659,1116.2301417435158,117141.80835053432,0,0,30339.201142140166,-30327.86895748967,-30327.86895748967,74046245934.82866,-72962271.94701211,301117248581.9503,52.393242815300816,23696.296402301785,-0.3534315959435899,-1.7267224538372652,7.113347568469544,0.0,0.0,0.0,3506402.4222814264
service_region,support,47.14352475793183,47.14352475793183,0.0,34.63605900582747,12.507465752104364,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.6719741674628463,38.68375951198559,1.464459931915826,1.464459931915826,-0.25600404891189,-0.0,0.25600404891189,,0.0,,6.9863470302977
conformal_rise,support,169.33184402848985,60002.85920760016,0.0,20468.64036831625,39259.19968430539,15927.051552502448,13178.580192616,0.0,0.0,0.0,0.0,0,0,8167.090139496309,-8163.6774542540215,-8163.6774542540215,27075245.016194105,-31258.357073354535,107124411.6685686,19.558876029861693,6595.6482697705615,-0.5876590902846122,-1.8481252592242254,5.190732373285257,,0.0,,7661.459809712653
sheath_rise,support,962.1127501618741,1055084.7439743064,0.0,772229.0728977738,280008.1088461497,1220.4530061698174,976.362404935854,0.0,278219.334671202,4179.644043879986,273631.6892347564,0,0,0.0,0.0,-1.8805589906802876e-44,0.0,-101594515.60898295,457064017433.32715,8.872171777458043,9729.517758433643,-0.061736129545778055,-1.5408696452656544e-47,0.38388508438932484,0.0,0.0,0.0,22838489.81216209
sheath_plateau,support,138.54423602330988,151932.2031323001,0.0,99221.03061701231,24805.257654253077,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-5886.739870777673,338883.90431820205,3.578665933805776e-06,0.003924483725949757,-2.128747188770311e-07,-0.0,2.128747188770311e-07,,0.0,,22838489.81216209
outer_falls,support,1385.442360233099,167472.0948006731,5853.559572341414,66100.3588040607,94825.57921270982,42037.4351847985,41894.13600769215,0.0,86049.12079863595,761.6122412472357,92579.81627703519,0,0,23977.755741368837,-23968.799659951517,-23968.799657701355,251667196723.23834,-246896604.31466794,1042004649431.2668,43.97640939305813,19121.57580029331,-0.448673275564957,-1.7267224538372652,7.6309098020501205,0.0,0.0,0.0,22838489.81216209
