family,speed,decel,label,launch,zeta0,r0,angle_deg,far_plane,exterior_light_arrival,anec,anec_compartment,anec_hole_boundary,anec_shift_region,anec_pattern_lapse,anec_cone,anec_flat,lowest_partial,most_negative_integrand,far_plane_arrival,final_energy
departure,2.1,30.0,departure_0,0.0,0.0,0.0,0.0,65.0,65.0,-202.27669861532985,0.0,0.0,0.0,0.0,-202.27669861532985,0.0,-202.27669861532985,-106.0626405823147,14.488000000000014,340.98557361982
departure,2.1,30.0,departure_0.5,0.0,0.0,0.0,0.5,65.0,65.0,4.545270103132941,0.0,4.542732765231056,0.0001347538407954986,0.0024025840610896734,0.0,0.0,-0.00023230118020824058,-0.0803670491623258,,1.026630748529663
departure,2.1,30.0,departure_1,0.0,0.0,0.0,1.0,65.0,65.0,0.003299623665345304,0.0,-0.0017952398915438243,0.0015623300878864813,0.003532533469002647,0.0,0.0,-0.0034259809541266214,-0.33304174869455,,0.33540372196706847
departure,2.1,30.0,departure_2,0.0,0.0,0.0,2.0,65.0,65.0,5.540071163916745,0.0,5.358701792790417,0.11483228838411283,0.06653708274221518,0.0,0.0,-0.0172956611465325,-5.019252516352324,,3.6807775593968213
departure,2.1,30.0,departure_5,0.0,0.0,0.0,5.0,65.0,65.0,4.547219344761818,0.0,4.547219344761818,0.0,0.0,0.0,0.0,0.0,0.0,37.412000000000035,1.0002761076695352
departure,2.1,30.0,departure_10,0.0,0.0,0.0,10.0,65.0,65.0,1.2402965587812258,0.0,1.2384036385057005,0.005676482846010515,-0.003783562570485228,0.0,0.0,0.0,-0.7382482143135021,,0.9808265336579802
departure,2.1,30.0,departure_20,0.0,0.0,0.0,20.0,65.0,65.0,3.6702221034318896,0.0,3.6702221034318896,0.0,0.0,0.0,0.0,0.0,-0.25645003896382995,35.34400000000004,1.002386782946649
departure,2.1,30.0,departure_45,0.0,0.0,0.0,45.0,65.0,65.0,2.6863216090453057,0.0,2.686328661460287,1.549698695824632e-05,-2.254940193959041e-05,0.0,0.0,0.0,-0.054034002933402464,,0.40351906809967875
departure,2.1,30.0,departure_90,0.0,0.0,0.0,90.0,65.0,65.0,0.020894956623040518,0.0,0.02542882636394085,0.00018387027197059385,-0.004717740012870927,0.0,0.0,0.0,-0.019006236527950148,,1.2408586918375806
departure,2.1,30.0,departure_135,0.0,0.0,0.0,135.0,65.0,65.0,2.6856703962269894,0.0,2.686328661579618,1.476441630243709e-05,-0.00035539895200953434,-0.000317630816921445,0.0,0.0,-0.2606855815210664,23.488000000000024,0.5277876041193447
