width,angular_index,wave_number,k_radius,k_width,scale_window,normal_frequency_squared,growth_rate,required_bending_coefficient,required_bending_to_sigma_width_squared
0.05,24,3.602190798210556,24.49489742783178,0.1801095399105278,True,-2.263071872872393,1.504350980613365,3.441164217956126e-05,5.3763989587676475
0.05,25,3.7492790541123417,25.495097567963924,0.1874639527056171,True,-2.4516611956117584,1.5657781438031886,3.176459278113347e-05,4.962829808093213
0.05,26,3.896365088085815,26.49528259898354,0.19481825440429076,True,-2.6477940912607,1.6272043790688064,2.9411659982530988e-05,4.595212785271492
0.05,27,4.043449142608094,27.495454169735037,0.20217245713040471,False,-2.851470559819215,1.688629787673786,2.731082712663592e-05,4.266983300609244
0.05,28,4.190531426110296,28.495613697550013,0.20952657130551483,False,-3.062690601287305,1.750054456663365,2.5427321807557577e-05,3.9727085902223993
0.05,29,4.337612118750772,29.495762407505246,0.2168806059375386,False,-3.2814542156649686,1.8114784612754766,2.373216702038708e-05,3.7078613508742397
0.05,30,4.484691377052031,30.49590136395381,0.22423456885260157,False,-3.507761402952208,1.8729018668772286,2.2201059470684687e-05,3.4686444895275144
0.05,31,4.631769337654006,31.49603149604724,0.23158846688270032,False,-3.7416121631490222,1.9343247305323432,2.081349325376689e-05,3.2518542089320452
0.05,32,4.778846120374094,32.49615361854384,0.23894230601870473,False,-3.9830064962554115,1.9957471022790967,1.955206942020526e-05,3.054772135663436
0.05,33,4.92592183071889,33.49626844888845,0.2462960915359445,False,-4.231944402271374,2.057169026179272,1.8401947689604955e-05,2.875079657094999
0.05,34,5.072996561958924,34.49637662132068,0.2536498280979462,False,-4.488425881196912,2.1185905411846133,1.7350407821627527e-05,2.7107893909752847
0.05,35,5.220070396852603,35.4964786985977,0.26100351984263015,False,-4.7524509330320255,2.18001168185678,1.6386496275981548e-05,2.560189980365546
0.05,36,5.3671434090866645,36.49657518178932,0.2683571704543332,False,-5.024019557776713,2.24143247896891,1.5500739720523087e-05,2.42180133277822
0.05,37,5.514215664486081,37.49666651850535,0.2757107832243041,False,-5.303131755430975,2.3028529600109024,1.4684911314179766e-05,2.29433810473726
0.05,38,5.66128722203534,38.49675310984031,0.283064361101767,False,-5.589787525994809,2.3642731496159257,1.393183893909363e-05,2.1766797403917604
0.05,39,5.808358134744558,39.496835316262995,0.2904179067372279,False,-5.88398686946822,2.4256930699221244,1.3235246992138948e-05,2.067845753372173
0.05,40,5.955428450387232,40.496913462633174,0.2977714225193616,False,-6.1857297858512075,2.48711274088072,1.2589625187644361e-05,1.9669752288174316
0.05,41,6.1024982121313025,41.49698784249286,0.30512491060656516,False,-6.495016275143768,2.548532180519557,1.1990119226327965e-05,1.8733097417308875
0.05,42,6.249567459081112,42.49705872175156,0.3124783729540556,False,-6.811846337345903,2.609951405169434,1.1432439262312708e-05,1.7861790560689856
0.05,43,6.396636226744572,43.497126341863094,0.31983181133722866,False,-7.136219972457613,2.6713704296592065,1.0912782932207586e-05,1.7049890989749408
0.05,44,6.54370454743735,44.49719092257398,0.3271852273718675,False,-7.468137180478896,2.732789267484578,1.0427770357442806e-05,1.6292118056871658
0.05,45,6.6907724506337205,45.4972526643093,0.33453862253168604,False,-7.807597961409754,2.79420793095463,9.97438903755399e-06,1.558376509787724
0.05,46,6.837839963272159,46.49731175025068,0.34189199816360794,False,-8.154602315250187,2.855626431319438,9.549946950849563e-06,1.4920626157542038
0.05,47,6.984907110022304,47.49736834815167,0.34924535550111524,False,-8.509150242000196,2.9170447788815648,9.152032494564166e-06,1.4298933400977785
0.05,48,7.131973913518906,48.49742261192856,0.3565986956759453,False,-8.87124174165978,2.97846298309376,8.77848014784726e-06,1.3715303466244
0.05,49,7.279040394567401,49.49747468305833,0.3639520197283701,False,-9.240876814228939,3.0398810526448132,8.42734094193337e-06,1.3166691327594233
0.05,50,7.426106572325057,50.49752469181039,0.37130532861625287,False,-9.61805545970767,3.101298995535205,8.096856983426179e-06,1.2650350491217992
0.05,51,7.573172464461019,51.49757275833493,0.378658623223051,False,-10.002777678095976,3.162716819143942,7.785439407140555e-06,1.216379854924807
0.05,52,7.720238087298052,52.49761899362675,0.3860119043649026,False,-10.395043469393858,3.2241345302877575,7.4916492408333655e-06,1.1704787283238707
0.05,53,7.867303455938386,53.49766350038102,0.39336517279691935,False,-10.794852833601315,3.285552135273661,7.214180750432129e-06,1.1271276643118755
0.05,54,8.014368584375713,54.49770637375485,0.4007184292187857,False,-11.202205770718345,3.3469696399457143,6.951846904961871e-06,1.0861412037914437
0.05,55,8.161433485595063,55.49774770204643,0.4080716742797532,False,-11.61710228074495,3.40838704972674,6.70356665835609e-06,1.047350446513178
0.05,56,8.30849817166208,56.49778756730215,0.41542490858310405,False,-12.039542363681132,3.469804369655605,6.46835379315061e-06,1.010601308039031
0.05,57,8.455562653802971,57.4978260458602,0.4227781326901486,False,-12.469526019526885,3.5312216044206126,6.245307110628177e-06,0.9757529870721683
0.05,58,8.602626942476274,58.49786320883866,0.43013134712381373,False,-12.907053248282214,3.5926387583894672,6.0336017848441715e-06,0.9426766146290438
0.05,59,8.749691047437363,59.49789912257407,0.4374845523718682,False,-13.352124049947117,3.6540558356362203,5.8324817253493665e-06,0.9112540608080757
0.05,60,8.896754977796574,60.497933849016704,0.44483774888982874,False,-13.804738424521599,3.7154728399655403,5.641252816321516e-06,0.8813768784864991
0.05,61,9.043818742071647,61.497967446087195,0.4521909371035824,False,-14.264896372005653,3.7768897749346158,5.459276919020823e-06,0.8529453662772574
0.05,62,9.190882348235144,62.49799996799898,0.4595441174117572,False,-14.73259789239928,3.8383066438729565,5.28596654063921e-06,0.825867735601789
0.05,63,9.337945803757378,63.49803146555017,0.46689729018786896,False,-15.207842985702479,3.899723449900323,5.120780086244235e-06,0.8000593688642332
0.05,64,9.485009115645353,64.4980619863884,0.47425045578226765,False,-15.690631651915256,3.9611401959429884,4.963217622052105e-06,0.7754421575145645
0.05,65,9.632072290478128,65.49809157525127,0.48160361452390643,False,-16.180963891037614,4.022556884748507,4.812817088050524e-06,0.7519439103171532
0.05,66,9.779135334439,66.4981202741852,0.48895676672195,False,-16.678839703069535,4.083973518899153,4.669150906317674e-06,0.7294978234420145
0.05,67,9.926198253344827,67.49814812274482,0.4963099126672414,False,-17.18425908801104,4.145390100824172,4.5318229384848005e-06,0.7080420051054845
0.05,68,10.07326105267277,68.49817515817483,0.5036630526336385,False,-17.697222045862112,4.206806632810939,4.400465751862054e-06,0.6875190484357604
0.05,69,10.220323737584739,69.49820141557622,0.511016186879237,False,-18.217728576622765,4.268223117015179,4.274738158951708e-06,0.6678756470518814
