coordinate_half_extent,kappa_over_r0_squared,central_charge,lapse_fractional_change,minimum_optical_length,required,endpoint_term,original_supply,optimistic_supply_upper_bound,upper_bound_over_required,necessary_gate_excludes,identity_scaled_error,quadrature_relative_change
7.0,0.001,6499.664174528444,0.9,18.537849325142957,0.33976195989408187,0.0,0.0004395065443572128,0.1586618625129539,0.4669794775213078,True,3.4588070775553525e-13,7.688452690392053e-12
7.0,0.01,64996.64174528444,0.0,18.537849325142957,0.2821518566372962,-9.856831541238063e-254,0.0013072402886238014,0.0013072402886238014,0.004633108937164456,True,5.717325677052157e-13,1.0107035605007688e-11
7.0,0.01,64996.64174528444,0.1,18.537849325142957,0.2821518566372962,-9.856831541238063e-254,0.0013072402886238014,0.0019527910484380246,0.006921063967862954,True,5.717325677052157e-13,1.0107035605007688e-11
7.0,0.01,64996.64174528444,0.5,18.537849325142957,0.2821518566372962,-9.856831541238063e-254,0.0013072402886238014,0.011765162597614214,0.041697980434480114,True,5.717325677052157e-13,1.0107035605007688e-11
7.0,0.01,64996.64174528444,0.9,18.537849325142957,0.2821518566372962,-9.856831541238063e-254,0.0013072402886238014,0.47191374419319254,1.6725523263163695,False,5.717325677052157e-13,1.0107035605007688e-11
7.0,0.03,194989.92523585336,0.0,18.537849325142957,0.41819138867551986,-2.812570394755817e-87,0.0026900041764269258,0.0026900041764269258,0.006432471469454707,True,5.634856272937972e-13,2.908753957806591e-12
7.0,0.03,194989.92523585336,0.1,18.537849325142957,0.41819138867551986,-2.812570394755817e-87,0.0026900041764269258,0.0040184013005883715,0.009609000590173084,True,5.634856272937972e-13,2.908753957806591e-12
7.0,0.03,194989.92523585336,0.5,18.537849325142957,0.41819138867551986,-2.812570394755817e-87,0.0026900041764269258,0.024210037587842334,0.05789224322509237,True,5.634856272937972e-13,2.908753957806591e-12
7.0,0.03,194989.92523585336,0.9,18.537849325142957,0.41819138867551986,-2.812570394755817e-87,0.0026900041764269258,0.9710915076901206,2.3221222004731503,False,5.634856272937972e-13,2.908753957806591e-12
7.0,0.1,649966.4174528446,0.0,18.537849325142957,0.24584673504302038,-5.110713367787469e-29,0.00685170715202578,0.00685170715202578,0.027869831791041723,True,1.7215797984409363e-12,2.959053480040458e-13
7.0,0.1,649966.4174528446,0.1,18.537849325142957,0.24584673504302038,-5.110713367787469e-29,0.00685170715202578,0.01023526623944592,0.04163271168785245,True,1.7215797984409363e-12,2.959053480040458e-13
7.0,0.1,649966.4174528446,0.5,18.537849325142957,0.24584673504302038,-5.110713367787469e-29,0.00685170715202578,0.06166536436823202,0.25082848611937547,True,1.7215797984409363e-12,2.959053480040458e-13
7.0,0.1,649966.4174528446,0.9,18.537849325142957,0.24584673504302038,-5.110713367787469e-29,0.00685170715202578,2.473466281881308,10.061009276566066,False,1.7215797984409363e-12,2.959053480040458e-13
7.0,0.3,1949899.2523585337,0.0,18.537849325142957,0.48657721708305435,-2.259530099973386e-12,0.0467049130074047,0.0467049130074047,0.0959866417243958,True,8.92372699926029e-13,3.860293409281136e-12
7.0,0.3,1949899.2523585337,0.1,18.537849325142957,0.48657721708305435,-2.259530099973386e-12,0.0467049130074047,0.06976906757896258,0.1433874524524925,True,8.92372699926029e-13,3.860293409281136e-12
7.0,0.3,1949899.2523585337,0.5,18.537849325142957,0.48657721708305435,-2.259530099973386e-12,0.0467049130074047,0.4203442170666423,0.8638797755195623,True,8.92372699926029e-13,3.860293409281136e-12
7.0,0.3,1949899.2523585337,0.9,18.537849325142957,0.48657721708305435,-2.259530099973386e-12,0.0467049130074047,16.860473595673106,34.6511776625069,False,8.92372699926029e-13,3.860293409281136e-12
7.0,0.6,3899798.5047170673,0.0,18.537849325142957,0.679854752689885,-3.2764404785976865e-08,0.1501417062948832,0.1501417062948832,0.2208437989156342,True,4.899089196181218e-13,3.2791237019772953e-12
7.0,0.6,3899798.5047170673,0.1,18.537849325142957,0.679854752689885,-3.2764404785976865e-08,0.1501417062948832,0.22428575878618354,0.3299024650468116,True,4.899089196181218e-13,3.2791237019772953e-12
7.0,0.6,3899798.5047170673,0.5,18.537849325142957,0.679854752689885,-3.2764404785976865e-08,0.1501417062948832,1.3512753566539488,1.987594190240708,False,4.899089196181218e-13,3.2791237019772953e-12
7.0,0.6,3899798.5047170673,0.9,18.537849325142957,0.679854752689885,-3.2764404785976865e-08,0.1501417062948832,54.20115597245285,79.72461140854398,False,4.899089196181218e-13,3.2791237019772953e-12
7.0,0.9,5849697.757075599,0.0,18.537849325142957,0.6743704837095115,-7.989697437944333e-07,0.2565444852321256,0.2565444852321256,0.3804206907469477,True,3.924803582961207e-13,2.797574970019287e-12
7.0,0.9,5849697.757075599,0.1,18.537849325142957,0.6743704837095115,-7.989697437944333e-07,0.2565444852321256,0.38323311991465686,0.5682827602516134,True,3.924803582961207e-13,2.797574970019287e-12
7.0,0.9,5849697.757075599,0.5,18.537849325142957,0.6743704837095115,-7.989697437944333e-07,0.2565444852321256,2.3089003670891306,3.4237862167225295,False,3.924803582961207e-13,2.797574970019287e-12
7.0,0.9,5849697.757075599,0.9,18.537849325142957,0.6743704837095115,-7.989697437944333e-07,0.2565444852321256,92.61255916879738,137.33186935964818,False,3.924803582961207e-13,2.797574970019287e-12
40.0,1.538541027887107e-07,0.9999999999999997,0.0,95.44269338246583,26.457648082864743,0.0,2.1403934389942937e-07,2.1403934390759821e-07,8.089885512016484e-09,True,3.168990779418269e-14,7.507989068110201e-10
40.0,1.538541027887107e-07,0.9999999999999997,0.1,95.44269338246583,26.457648082864743,0.0,2.1403934389942937e-07,2.738309520569364e-07,1.0349784349663438e-08,True,3.168990779418269e-14,7.507989068110201e-10
40.0,1.538541027887107e-07,0.9999999999999997,0.5,95.44269338246583,26.457648082864743,0.0,2.1403934389942937e-07,9.787956392409646e-07,3.699480906902228e-08,True,3.168990779418269e-14,7.507989068110201e-10
40.0,1.538541027887107e-07,0.9999999999999997,0.9,95.44269338246583,26.457648082864743,0.0,2.1403934389942937e-07,2.5961244629347352e-05,9.812378087438965e-07,True,3.168990779418269e-14,7.507989068110201e-10
40.0,1e-06,6.499664174528445,0.0,95.44269338246583,10.378039078443786,0.0,5.45659441721227e-07,5.456594417283422e-07,5.257827973125779e-08,True,0.0,3.3604922997250004e-10
40.0,1e-06,6.499664174528445,0.1,95.44269338246583,10.378039078443786,0.0,5.45659441721227e-07,6.980886864044631e-07,6.726595276119767e-08,True,0.0,3.3604922997250004e-10
40.0,1e-06,6.499664174528445,0.5,95.44269338246583,10.378039078443786,0.0,5.45659441721227e-07,2.495284616014004e-06,2.404389304331063e-07,True,0.0,3.3604922997250004e-10
40.0,1e-06,6.499664174528445,0.9,95.44269338246583,10.378039078443786,0.0,5.45659441721227e-07,6.618408556297073e-05,6.3773209045282575e-06,True,0.0,3.3604922997250004e-10
40.0,1e-05,64.99664174528445,0.0,95.44269338246583,3.28259273152973,0.0,1.7247926757174888e-06,1.7247926757202482e-06,5.254360856750186e-07,True,5.2761583908343526e-15,1.4164604802425298e-10
40.0,1e-05,64.99664174528445,0.1,95.44269338246583,3.28259273152973,0.0,1.7247926757174888e-06,2.2066112326395525e-06,6.722159625361881e-07,True,5.2761583908343526e-15,1.4164604802425298e-10
40.0,1e-05,64.99664174528445,0.5,95.44269338246583,3.28259273152973,0.0,1.7247926757174888e-06,7.887426296347397e-06,2.4028038021858887e-06,True,5.2761583908343526e-15,1.4164604802425298e-10
40.0,1e-05,64.99664174528445,0.9,95.44269338246583,3.28259273152973,0.0,1.7247926757174888e-06,0.00020920342854634574,6.373115572240187e-05,True,5.2761583908343526e-15,1.4164604802425298e-10
40.0,0.0001,649.9664174528446,0.0,95.44269338246583,1.0405731735417172,0.0,5.431448515776348e-06,5.431448515777297e-06,5.219669941413828e-06,True,2.133868242723148e-15,8.862381585677777e-12
40.0,0.0001,649.9664174528446,0.1,95.44269338246583,1.0405731735417172,0.0,5.431448515776348e-06,6.94871648814998e-06,6.677777848624695e-06,True,2.133868242723148e-15,8.862381585677777e-12
