suite,case,s,l,required_support_rest_divergence,acceleration,twice_abs_angular_gradient,allowed_force_per_density_low,allowed_force_per_density_high,exact_step,exact_acceleration,exact_twice_abs_angular_gradient,exact_allowed_force_per_density_low,exact_allowed_force_per_density_high
finite,smooth_n32,1.285,-1.725,-0.06397967876075758,0.3574996915426137,0.06040539714586207,0.2970942943967516,0.41790508868847576,0.0001,0.3566718606839394,0.06113443316476823,0.29553742751917117,0.41780629384870765
finite,smooth_n32,1.285,-1.725,-0.06397967876075758,0.3574996915426137,0.06040539714586207,0.2970942943967516,0.41790508868847576,5e-05,0.35667186214517704,0.061134436180214656,0.2955374259649624,0.4178062983253917
finite,smooth_n64,1.285,-1.7125000000000001,-0.1209787655905242,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,0.0001,0.34324357037596337,0.061235423816800014,0.28200814655916334,0.4044789941927634
finite,smooth_n64,1.285,-1.7125000000000001,-0.1209787655905242,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,5e-05,0.34324357181008924,0.06123542686655038,0.2820081449435389,0.4044789986766396
interior,smooth_fast_discharge,1.285,-1.7125000000000001,-0.11305806721534675,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,0.0001,0.34324357037596337,0.061235423816800014,0.28200814655916334,0.4044789941927634
interior,smooth_fast_discharge,1.285,-1.7125000000000001,-0.11305806721534675,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,5e-05,0.34324357181008924,0.06123542686655038,0.2820081449435389,0.4044789986766396
interior,smooth_joint_refined,1.285,-1.7062500000000003,-0.1437908389886953,0.3367433594634161,0.061092680716009526,0.27565067874740656,0.39783604017942564,0.0001,0.33668918587438507,0.06113587244600274,0.2755533134283823,0.39782505832038784
interior,smooth_joint_refined,1.285,-1.7062500000000003,-0.1437908389886953,0.3367433594634161,0.061092680716009526,0.27565067874740656,0.39783604017942564,5e-05,0.33668918728888414,0.06113587498455191,0.2755533123043322,0.39782506227343606
interior,smooth_n32,1.285,-1.725,-0.06397967876075758,0.3574996915426137,0.06040539714586207,0.2970942943967516,0.41790508868847576,0.0001,0.3566718606839394,0.06113443316476823,0.29553742751917117,0.41780629384870765
interior,smooth_n32,1.285,-1.725,-0.06397967876075758,0.3574996915426137,0.06040539714586207,0.2970942943967516,0.41790508868847576,5e-05,0.35667186214517704,0.061134436180214656,0.2955374259649624,0.4178062983253917
interior,smooth_n64,1.285,-1.7125000000000001,-0.12097876559070775,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,0.0001,0.34324357037596337,0.061235423816800014,0.28200814655916334,0.4044789941927634
interior,smooth_n64,1.285,-1.7125000000000001,-0.12097876559070775,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,5e-05,0.34324357181008924,0.06123542686655038,0.2820081449435389,0.4044789986766396
interior,smooth_reset,1.76,-1.3125,-2.3601973724441643,0.17186123965434585,0.17108862085748727,0.0007726187968585818,0.3429498605118331,0.0001,0.17188080721930135,0.171075798061862,0.0008050091574393625,0.34295660528116334
interior,smooth_reset,1.76,-1.3125,-2.3601973724441643,0.17186123965434585,0.17108862085748727,0.0007726187968585818,0.3429498605118331,5e-05,0.17188080868652275,0.17107579816428597,0.0008050105222367765,0.34295660685080875
interior,smooth_space_refined,1.285,-1.7062500000000003,-0.14268744093884492,0.3367433594634161,0.061092680716009526,0.27565067874740656,0.39783604017942564,0.0001,0.33668918587438507,0.06113587244600274,0.2755533134283823,0.39782505832038784
interior,smooth_space_refined,1.285,-1.7062500000000003,-0.14268744093884492,0.3367433594634161,0.061092680716009526,0.27565067874740656,0.39783604017942564,5e-05,0.33668918728888414,0.06113587498455191,0.2755533123043322,0.39782506227343606
interior,smooth_time_refined,1.285,-1.7125000000000001,-0.12191710877067029,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,0.0001,0.34324357037596337,0.061235423816800014,0.28200814655916334,0.4044789941927634
interior,smooth_time_refined,1.285,-1.7125000000000001,-0.12191710877067029,0.34345745815821127,0.061032155415996776,0.2824253027422145,0.40448961357420804,5e-05,0.34324357181008924,0.06123542686655038,0.2820081449435389,0.4044789986766396
