time,steps,min_f,min_alpha,max_particle_speed,max_entropy_speed,max_relative_drift,min_rest_energy,min_entropy_creation,max_entropy_creation,particle_number,entropy,created_entropy,escaped_particles,escaped_entropy,particle_balance_relative_error,entropy_balance_relative_error,outer_mass_balance_error,max_current,max_mass_change,min_radial_discriminant,scenario,level,cells
1.3250000000000002,1054,7.776978708573523e-06,0.0015590233338059203,0.7726347293091137,0.8423728133693327,0.19973473612522102,4.297580883114782e-12,2.5589036623630985e-22,1.1443656744669648e-06,0.31302175072535976,0.7399783093685954,0.0005190029048703452,0.0014484968946438265,0.007678119730361943,6.317457615972769e-07,9.766481774369708e-07,-8.126608841418914e-08,0.00020757790519353506,0.00806448809906618,1.1853133107989602e-22,high_preload_slow_drag,3,1024
1.35,1074,7.776978708573523e-06,0.0015575338855920492,0.7725185009871612,0.8420147485722103,0.19882882599903207,4.2975811484511926e-12,2.6549238851424e-22,1.1470293812715077e-06,0.3129096831624346,0.7394748119756573,0.0005339084691172951,0.0015605793783151406,0.008196570161953735,6.791930343780196e-07,1.0401899724034317e-06,-8.655852737349257e-08,0.00021436955998715328,0.00830349671496966,1.18531331064311e-22,high_preload_slow_drag,3,1024
1.375,1094,7.776978708573523e-06,0.0015560059271699325,0.7723888012147546,0.8416448984230593,0.19791815868238785,4.297581413538878e-12,2.752620365589041e-22,1.1489845924762584e-06,0.31279167052967966,0.7389497845734376,0.0005489289636973902,0.0016786078641611842,0.008736668190955947,7.296051200911072e-07,1.1072890757671508e-06,-9.199791803360391e-08,0.0002213186090798081,0.00854313454380684,1.1853140659365858e-22,high_preload_slow_drag,3,1024
1.4000000000000001,1114,7.776978708573523e-06,0.0015544389196173803,0.772245502562164,0.8412632639937305,0.19700322697665199,4.297581678371209e-12,2.8519856392525013e-22,1.150251625121421e-06,0.31266756392988493,0.7384030253002136,0.0005640566278308031,0.00180273132869963,0.009298608042316516,7.832342137637829e-07,1.1781114612513292e-06,-9.767317973863321e-08,0.00022840546613501632,0.008783357566126193,1.1853140657753213e-22,high_preload_slow_drag,3,1024
1.425,1134,7.776978708573523e-06,0.0015528323248726159,0.7720884756485662,0.840869847487706,0.19608453280555396,4.297581942941458e-12,2.953012034448023e-22,1.1508429186074898e-06,0.31253721835716686,0.7378343586129726,0.0005792837329008041,0.0019330947925131424,0.009882557684385142,8.401270577657546e-07,1.2528631873104535e-06,-1.0355575350007307e-07,0.00023570842897863335,0.009024037934647233,1.1853140656113688e-22,high_preload_slow_drag,3,1024
1.4500000000000002,1154,7.776978708573523e-06,0.0015511856050872182,0.7719175893896014,0.8404646519910964,0.1951625854782795,4.297582207242821e-12,3.055691669610338e-22,1.1507742234266546e-06,0.31240049314147567,0.7372436354827587,0.000594602595938396,0.00206983898780774,0.010488658581107884,9.004813059747708e-07,1.331702135421427e-06,-1.0972599248648685e-07,0.0002431365053502184,0.009265031336787577,1.1853140654447413e-22,high_preload_slow_drag,3,1024
1.475,1174,7.776978708573523e-06,0.0015494982242499583,0.7717327114856711,0.8400476812156235,0.19423789935649327,4.297582471268394e-12,3.160016450793775e-22,1.150063734348962e-06,0.31225725223705725,0.7366307336391975,0.0006100055918082836,0.00221310003117736,0.011117025513921875,9.645222259154983e-07,1.4148105989288859e-06,-1.1623145565464732e-07,0.00025073745754895864,0.009506238675530021,1.1853148207277317e-22,high_preload_slow_drag,3,1024
1.5,1194,7.776978708573523e-06,0.0015477696485073182,0.7715337088498256,0.8396189392305093,0.19331099163551332,4.29758273501117e-12,3.2659780691494935e-22,1.1487397252393492e-06,0.31210736449257326,0.7359955577235661,0.0006254851654619166,0.0023630091026735685,0.011767746471971399,1.0323411240353072e-06,1.5024368188001816e-06,-1.2315662101247682e-07,0.0002585557981337875,0.009747563854760333,1.1853148205557943e-22,high_preload_slow_drag,3,1024
1.5250000000000001,1214,7.776978708573523e-06,0.0015459993482012727,0.7713204478309648,0.8391784301927956,0.19238238061648588,4.297582998464078e-12,3.373567998620897e-22,1.1468043616745514e-06,0.31195070406924286,0.7353380392217012,0.0006410338421698313,0.002519692131868985,0.012440882609031187,1.1042267140568862e-06,1.5947338338877403e-06,-1.3044510482895788e-07,0.00026653756048395006,0.009988930127189433,1.185315198107453e-22,high_preload_slow_drag,3,1024
1.55,1234,7.776978708573523e-06,0.0015441867977452992,0.7710927945773854,0.8387261580783494,0.191452583658063,4.2975832616199285e-12,3.4827774937052848e-22,1.1442924624186505e-06,0.31178715063033036,0.7346581366092368,0.0006566442378563518,0.002683269491786753,0.013136468265343712,1.1802943884417653e-06,1.6919692689378262e-06,-1.3804544107820504e-07,0.0002746786371983484,0.010230301901793526,1.185315197930262e-22,high_preload_slow_drag,3,1024
