arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner_pair,1.0,-4.0,-2.7747496596348312e-05,-4.083649898205418e-09,2.7751579761690833e-05,-4.845556837447095e-13,-8.730235966302002e-09
inner_pair,1.0,-5.5,-4.129908467238134e-06,-6.656921196535357e-16,4.1299089185149575e-06,4.5061113060986023e-13,5.455461174611175e-08
inner_pair,8.0,-1.5,5.75166932327404e-06,-7.828960299683421e-06,2.077035272197278e-06,-2.557042121030428e-10,-1.6330928897460976e-05
inner_pair,8.0,-2.8,-0.00022565705526288738,-0.00010115492547235598,0.0003268056817480704,-6.298987172950656e-09,-9.637112848234061e-06
inner_pair,8.0,-4.0,-3.581166196651131e-05,-5.282976951444514e-09,3.5816939764017734e-05,-5.179445021204036e-12,-7.230439954994042e-08
inner_pair,8.0,-5.5,-4.871197222792998e-06,-7.858147441115945e-16,4.871197667530865e-06,4.439520531930455e-13,4.556908831504761e-08
inner_pair,64.0,-1.5,5.915839025749328e-06,-8.047222670538408e-06,2.1311018009426494e-06,-2.8184384643040414e-10,-1.7512177410084478e-05
inner_pair,64.0,-2.8,-0.00025116159720743315,-0.00011357517750574874,0.00036472918082783203,-7.593885349862182e-09,-1.0410198436512531e-05
inner_pair,64.0,-4.0,-3.77400974317256e-05,-5.5834167813026964e-09,3.77456739263367e-05,-6.92217020059312e-12,-9.169487315784446e-08
inner_pair,64.0,-5.5,-5.0238283535633175e-06,-8.114789388907919e-16,5.023828786954412e-06,4.3257961604848804e-13,4.305278434204831e-08
spanning_pair,1.0,-1.5,1.4371205138034675e-06,-2.500213517617707e-06,1.063032825589263e-06,-6.017822497637029e-11,-1.2034761987913216e-05
spanning_pair,1.0,-2.8,-3.136801940061061e-05,-2.454632990179457e-05,5.5914209098481985e-05,-1.4020392319184522e-10,-1.253739878227143e-06
spanning_pair,1.0,-4.0,-4.021252435806662e-05,-9.094793381648128e-09,4.02217201783323e-05,1.0102688403592274e-10,1.2558763084381561e-06
spanning_pair,1.0,-5.5,-0.00037449742651525904,-8.670498381582525e-14,0.0003745138467103322,1.6420108368158694e-08,2.1922378144650993e-05
spanning_pair,8.0,-1.5,1.4833508614053944e-06,-2.5872670285401635e-06,1.1038496812085014e-06,-6.648592626767268e-11,-1.2848843934844557e-05
spanning_pair,8.0,-2.8,-3.7461670439661706e-05,-3.171386010792651e-05,6.917540031896232e-05,-1.3022862589738907e-10,-9.412920106985328e-07
spanning_pair,8.0,-4.0,-6.84676095221351e-05,-1.5955935649172767e-08,6.848382049386503e-05,2.550360807685847e-10,1.86202050215527e-06
spanning_pair,8.0,-5.5,-0.001077475820841598,-2.4758586243832975e-13,0.0010775380471052057,6.222601602176234e-08,2.8874995627707644e-05
spanning_pair,64.0,-1.5,1.4908843558128055e-06,-2.600460166395811e-06,1.1095084178055161e-06,-6.7392777489308e-11,-1.2958024052324938e-05
spanning_pair,64.0,-2.8,-3.88654994461477e-05,-3.337933278615467e-05,7.224470674613279e-05,-1.2548616957824485e-10,-8.684792716860524e-07
spanning_pair,64.0,-4.0,-7.712137013875051e-05,-1.801604872526828e-08,7.713970700390518e-05,3.2081642939820517e-10,2.0794549848710683e-06
spanning_pair,64.0,-5.5,-0.001464780574363822,-3.3508052865591755e-13,0.0014648796224513802,9.904775247768574e-08,3.380861458746333e-05
outer,1.0,-1.5,4.364911809728638e-09,-7.155826159110337e-09,2.7908495738347097e-09,-6.477554698927897e-14,-4.526090959240825e-06
outer,1.0,-2.8,-8.916984389222653e-06,-1.0029143669077835e-05,1.8946131633808408e-05,3.5755079215579137e-12,9.435984949460582e-08
outer,1.0,-4.0,-2.9762328828751308e-05,-7.286849485794322e-09,2.9769714648348385e-05,9.8970111284542e-11,1.6622644349822303e-06
outer,1.0,-5.5,-0.00037229734232007144,-8.626909852582717e-14,0.00037231376221856565,1.6419812225111543e-08,2.2051527465982305e-05
outer,8.0,-1.5,4.16364906680746e-09,-7.805937638710356e-09,3.6422035722442743e-09,-8.499965862194621e-14,-5.444581121680985e-06
outer,8.0,-2.8,-1.4414661919847448e-05,-1.6466103703764276e-05,3.088078332498232e-05,1.7701370595279032e-11,2.8660826835823703e-07
outer,8.0,-4.0,-5.7501172511058346e-05,-1.4013991722509904e-08,5.751543939921065e-05,2.5289642979048864e-10,2.1985138984287685e-06
outer,8.0,-5.5,-0.001075103166226763,-2.471012078151551e-13,0.0010751653921740852,6.222570022099139e-08,2.8938571403433345e-05
outer,64.0,-1.5,4.037387053247119e-09,-7.83631891001279e-09,3.798843227314918e-09,-8.862945075335987e-14,-5.655075615054375e-06
outer,64.0,-2.8,-1.5727405022899734e-05,-1.8006336213331268e-05,3.373376431996709e-05,2.3083736087707845e-11,3.421459841653682e-07
outer,64.0,-4.0,-6.606625205461936e-05,-1.6050297642392967e-08,6.608262101487056e-05,3.1866260880573406e-10,2.411098199788926e-06
outer,64.0,-5.5,-0.0014623763873596212,-3.345871109475424e-13,0.001462475435127075,9.904743286659468e-08,3.386408572693248e-05
