regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,-186.63713197162463,-16.00193296471108,15.911939255240842,0.8824805095720936,-1.348082550359483e-05,-3.888799291012304e-06,1.5538242686924477e-05,5.802631781591008e-06,-1.7369624794607133e-05,-1.8121089684104077e-06,6.244855295426842e-06
4.0,-186.08713855849717,-15.49925701436102,15.426150436728747,0.8788127138440077,-1.4549366583891456e-05,-5.535973821205131e-06,1.7353911471041697e-05,1.500630313732582e-05,-2.008534040509659e-05,-1.8306100280919457e-06,8.898274819684315e-06
4.0,-185.53714514536972,-14.99818027853214,14.941896870855441,0.8750120477097993,-8.936690905315392e-06,-7.831004860972942e-06,1.2639908578080145e-05,3.435782575862592e-05,-1.6767695766288334e-05,-1.8321659268727485e-06,1.2760143444691263e-05
4.0,-184.9871517322423,-14.498566377752178,14.459042350405397,0.8711074640889837,1.7744707548396956e-05,-1.0744587395332059e-05,-1.3270352719238235e-05,7.247965027882678e-05,7.000120153064897e-06,-1.8036651642549495e-06,1.8412750489124292e-05
4.0,-184.43715831911484,-14.000171914002415,13.977345412171832,0.8671492880215939,0.00010480207609902387,-1.2395349503784349e-05,-0.00010076729740499231,0.00013987417053732554,9.240672659523952e-05,-1.716517506337521e-06,2.6683142248929997e-05
4.0,-183.88216496586807,-13.498075439842411,13.492040257278862,0.8631849413987891,0.00036654433053145714,3.241645118411807e-07,-0.0003678917635513673,0.00023776948906962243,0.0003668684950432983,-1.5212008618708947e-06,3.894148999544413e-05
4.0,-183.33217155274062,-13.000690095323662,13.01123804019312,0.85941443664949,0.0011189471333986148,8.793676491411152e-05,-0.0011420436357063345,0.00036316781705328903,0.0012068838983127262,-1.2626027149207334e-06,5.8907878654245984e-05
4.0,-182.77717819949385,-12.49789991673031,12.525065388130194,0.8559393983681904,0.002826888513637859,0.0005443737409271192,-0.0029175314209084736,0.001056359659099367,0.003371262254564978,-1.7328642812097377e-06,0.00010629265055361051
4.0,-182.23218472648574,-12.000959185472498,12.044250721635365,0.8529758376737644,0.0010022476321043525,0.003400240074663845,-0.0012139066995188034,0.005494243710001739,0.004402487706768198,-4.144286664395772e-06,0.00020403914195476895
4.0,-181.69219119359698,-11.500825744738203,11.560489247960453,0.8504881031755486,-0.011773319264319368,0.010862014728517638,0.011530357338424191,0.015322507061351586,-0.0009113045358017293,-4.1922329807163545e-06,0.0002693311725655784
4.0,-181.1621975409469,-10.999680639068176,11.076212686549253,0.8485618308229401,-0.01705968952088806,0.014715435253346391,0.01691592378666654,0.022496595164640542,-0.00234425426754167,-2.0502861339988666e-06,0.00023876620029813657
4.0,-180.6422037685355,-10.49950319766948,10.592925387152585,0.8473515718622789,-0.016029553511350627,0.015108548165774553,0.015955782869298742,0.025207507888613902,-0.0009210053455760737,-1.2379651619895738e-06,0.00018453734799140622
4.0,-180.12720993624345,-9.997859424530711,10.108189442833197,0.84684266770572,-0.015400288652440799,0.01508841958144579,0.015356007363046154,0.026199616091140954,-0.00031186907099500956,-8.825396822373625e-07,0.00013421150408527533
4.0,-179.62221598419006,-9.501536292359958,9.628556306531484,0.846868364204057,-0.01520668257271391,0.015072675611104293,0.015177418880401075,0.026655432627647174,-0.00013400696160961734,-6.506204525176149e-07,9.266127738468486e-05
4.0,-179.11722203213668,-9.002144149221191,9.145910422382778,0.847222702842055,-0.0151348683823106,0.015065256084269646,0.015115152239060932,0.026911656790750655,-6.961229804095491e-05,-4.943049107811702e-07,6.149723286837837e-05
4.0,-178.6122280800833,-8.500638841763731,8.661177197747007,0.8477334483094888,-0.015102271322851085,0.015061241292916534,0.015088949204095248,0.027070459404509976,-4.103002993455056e-05,-3.898391876570206e-07,4.000717443959232e-05
4.0,-178.10723412802992,-7.997688629598811,8.175007590705674,0.8482657796818381,-0.015085689961864022,0.015058706477263437,0.015076690729594897,0.027174095980307546,-2.6983484600584876e-05,-3.1841585084801587e-07,2.5949226326035555e-05
4.0,-177.60724011609588,-7.498754066010664,7.692684053107576,0.8487151129165116,-0.015077619481981861,0.015056783502785517,0.015071616209888717,0.027241635564577076,-2.0835979196344098e-05,-2.6707992814953555e-07,1.7132881781235138e-05
