name,support,v_lane,t_accel,t_decel,v_out,l_exit,decel_start,live_end,support_exit_time,arrival_track_end,light_arrival,lead_over_light,end_to_end_speed,worst_live_norm_over_alpha2,worst_coast_norm_over_alpha2
search_12,static,1.2,0.3,0.8,0.9,1.8,0.604166666666667,2.2930555555555556,1.4041666666666826,4.959722222222224,5.0,0.04027777777777608,1.006333260537235,-0.9568761405438336,-0.19000001484087
search_13,static,1.2,0.3,0.8,0.9,2.1,0.854166666666667,2.2097222222222244,1.6541666666666897,4.876388888888888,5.0,0.12361111111111178,1.0196946227041381,-0.9552650378912833,-0.19000001484087
search_14,static,1.2,0.3,0.8,0.9,2.4,1.1041666666666665,2.1263888888889,1.9041666666666974,4.793055555555557,5.0,0.20694444444444304,1.0334155640278089,-0.9535692677243296,-0.19000001484087
search_15,static,1.2,0.3,0.8,0.95,1.8,0.5875000000000001,2.2296052631578953,1.3875000000000004,4.755921052631117,5.0,0.24407894736888291,1.039649460297182,-0.9500285470899844,-0.09750005156037661
search_16,static,1.2,0.3,0.8,0.95,2.1,0.8375000000000004,2.1638157894736847,1.6375000000000006,4.690131578947368,5.0,0.3098684210526317,1.0508804148212165,-0.9467745313435124,-0.09750005156037661
search_17,static,1.2,0.3,0.8,0.95,2.4,1.0875,2.098026315789474,1.8875000000000008,4.624342105263158,5.0,0.3756578947368423,1.062356667030687,-0.9543578458963462,-0.09750005156037661
search_18,static,1.2,0.6,0.4,0.8,1.8,1.0083333333333333,2.4083333333335024,1.4083333333333339,5.408333333333332,5.0,-0.4083333333333323,0.9400244798041618,-0.9641881049840134,-0.35999552983563304
search_19,static,1.2,0.6,0.4,0.8,2.1,1.2583333333333335,2.2833333333333337,1.6583333333333339,5.283333333333332,5.0,-0.2833333333333323,0.9576059850374068,-0.9621066194946966,-0.35999552983563304
search_20,static,1.2,0.6,0.4,0.8,2.4,1.5083333333333333,2.1583333333333337,1.908333333333334,5.158333333333336,5.0,-0.15833333333333588,0.9758576874205842,-0.9679902436321891,-0.35999552983563304
search_21,static,1.2,0.6,0.4,0.9,1.8,0.9916666666666668,2.2805555555555554,1.3916666666666881,4.947222222222223,5.0,0.052777777777777146,1.0083150984682712,-0.9505028267307708,-0.19000001484087
search_22,static,1.2,0.6,0.4,0.9,2.1,1.241666666666667,2.197222222222224,1.6416666666666968,4.86388888888889,5.0,0.13611111111111018,1.021729490022173,-0.9588041521333243,-0.19000001484087
search_23,static,1.2,0.6,0.4,0.9,2.4,1.4916666666666665,2.1138888888889036,1.8916666666667057,4.780555555555556,5.0,0.2194444444444441,1.0355056179775282,-0.9572458963276226,-0.19000001484087
search_24,static,1.2,0.6,0.4,0.95,1.8,0.9833333333333333,2.225438596491229,1.383333333333334,4.751754385964497,5.0,0.24824561403550316,1.0403536289748316,-0.9477082985319041,-0.09750005156037661
search_25,static,1.2,0.6,0.4,0.95,2.1,1.2333333333333336,2.1596491228070174,1.6333333333333337,4.685964912280702,5.0,0.3140350877192981,1.0515998846929953,-0.9551865171144697,-0.09750005156037661
search_26,static,1.2,0.6,0.4,0.95,2.4,1.4833333333333327,2.0938596491228076,1.8833333333333337,4.620175438596491,5.0,0.37982456140350873,1.0630919422992862,-0.9522527366250693,-0.09750005156037661
search_27,static,1.2,0.6,0.8,0.8,1.8,0.6749999999999998,2.4750000000000596,1.4750000000000003,5.4750000000000005,5.0,-0.47500000000000053,0.9309090909090909,-0.9667798031740821,-0.35999552983563304
search_28,static,1.2,0.6,0.8,0.8,2.1,0.9250000000000007,2.3500000000004015,1.7249999999999999,5.349999999999999,5.0,-0.34999999999999876,0.9481481481481484,-0.9648552806346338,-0.35999552983563304
search_29,static,1.2,0.6,0.8,0.8,2.4,1.1749999999999998,2.225,1.975,5.2250000000000005,5.0,-0.22500000000000053,0.9660377358490566,-0.9628049316687914,-0.35999552983563304
search_30,static,1.2,0.6,0.8,0.9,1.8,0.641666666666667,2.3305555555555553,1.441666666666673,4.997222222222221,5.0,0.0027777777777791,1.0004342162396878,-0.9556736687773189,-0.19000001484087
search_31,static,1.2,0.6,0.8,0.9,2.1,0.8916666666666675,2.247222222222223,1.691666666666676,4.91388888888889,5.0,0.08611111111111036,1.0136383633963924,-0.9540153736542603,-0.19000001484087
search_32,static,1.2,0.6,0.8,0.9,2.4,1.1416666666666666,2.1638888888888945,1.9416666666666815,4.830555555555556,5.0,0.1694444444444443,1.0271957200178332,-0.9522715027359936,-0.19000001484087
search_33,static,1.2,0.6,0.8,0.95,1.8,0.6250000000000004,2.267105263157895,1.425,4.793421052631827,5.0,0.20657894736817273,1.0333545782876155,-0.9486495982365624,-0.09750005156037661
search_34,static,1.2,0.6,0.8,0.95,2.1,0.8750000000000004,2.2013157894736843,1.675,4.7276315789473005,5.0,0.27236842105269954,1.0444492162336385,-0.9453022551791432,-0.09750005156037661
search_35,static,1.2,0.6,0.8,0.95,2.4,1.125,2.1355263157894737,1.925,4.661842105263157,5.0,0.33815789473684266,1.055784675493814,-0.9531069845634601,-0.09750005156037661
search_36,static,1.5,0.3,0.4,0.8,1.8,0.48666666666666725,1.8866666666666672,0.8866666666666727,4.8866666666667005,5.0,0.11333333333329954,1.0180275715800582,-0.9635077428925222,-0.35999552983563304
search_37,static,1.5,0.3,0.4,0.8,2.1,0.686666666666667,1.7116666666666664,1.0866666666666756,4.711666666666869,5.0,0.2883333333331306,1.0471775293154821,-0.9655094841604198,-0.35999552983563304
search_38,static,1.5,0.3,0.4,0.8,2.4,0.8866666666666667,1.5366666666666693,1.2866666666666777,4.536666666666664,5.0,0.4633333333333356,1.0780460415496917,-0.9673860540579216,-0.35999552983563304
search_39,static,1.5,0.3,0.4,0.9,1.8,0.4733333333333336,1.762222222222222,0.8733333333333331,4.42888888888889,5.0,0.5711111111111098,1.097979412886008,-0.9514060935610189,-0.19000001484087
search_40,static,1.5,0.3,0.4,0.9,2.1,0.6733333333333338,1.6288888888888886,1.0733333333333333,4.295555555555564,5.0,0.7044444444444364,1.1236831837690193,-0.9548524726547916,-0.19000001484087
search_41,static,1.5,0.3,0.4,0.9,2.4,0.8733333333333335,1.4955555555555553,1.2733333333333337,4.162222222222266,5.0,0.8377777777777338,1.150619256891721,-0.9580203763408013,-0.19000001484087
search_42,static,1.5,0.3,0.4,0.95,1.8,0.466666666666667,1.7087719298243793,0.8666666666666666,4.235087719298244,5.0,0.7649122807017559,1.13574097135741,-0.9495732528367006,-0.09750005156037661
search_43,static,1.5,0.3,0.4,0.95,2.1,0.6666666666666674,1.5929824561403496,1.0666666666666664,4.119298245614036,5.0,0.8807017543859637,1.1595677050222502,-0.9518298686206031,-0.09750005156037661
search_44,static,1.5,0.3,0.4,0.95,2.4,0.8666666666666671,1.47719298245614,1.2666666666666664,4.003508771929832,5.0,0.9964912280701679,1.1844155844155828,-0.9539449168162116,-0.09750005156037661
search_45,static,1.5,0.3,0.8,0.8,1.8,0.17999999999999994,1.98,0.980000000000002,4.980000000000013,5.0,0.01999999999998714,1.0031347962382424,-0.9606502196952635,-0.35999552983563304
search_46,static,1.5,0.3,0.8,0.8,2.1,0.3799999999999999,1.8050000000000002,1.1800000000000024,4.805000000000083,5.0,0.1949999999999168,1.0314262691377782,-0.9628139835829241,-0.35999552983563304
search_47,static,1.5,0.3,0.8,0.8,2.4,0.5799999999999998,1.6300000000000003,1.3800000000000032,4.630000000000436,5.0,0.369999999999564,1.0613598673299398,-0.964845724936183,-0.35999552983563304
search_48,static,1.5,0.3,0.8,0.9,1.8,0.15333333333333332,1.842222222222222,0.9533333333333337,4.5088888888888885,5.0,0.4911111111111115,1.0831139526137645,-0.9514060935610189,-0.19000001484087
search_49,static,1.5,0.3,0.8,0.9,2.1,0.35333333333333306,1.7088888888888878,1.153333333333334,4.3755555555555565,5.0,0.6244444444444435,1.1081185071181223,-0.9548524726547911,-0.19000001484087
search_50,static,1.5,0.3,0.8,0.9,2.4,0.553333333333333,1.5755555555555558,1.3533333333333328,4.242222222222239,5.0,0.7577777777777612,1.1343048444269364,-0.9580203763075424,-0.19000001484087
search_51,static,1.5,0.3,0.8,0.95,1.8,0.1399999999999999,1.7821052631581313,0.9400000000000006,4.308421052631579,5.0,0.6915789473684208,1.1211506546192145,-0.9457716853137209,-0.09750005156037661
search_52,static,1.5,0.3,0.8,0.95,2.1,0.3400000000000001,1.6663157894736842,1.1399999999999997,4.1926315789473705,5.0,0.8073684210526295,1.144362883493318,-0.9482059073621871,-0.09750005156037661
search_53,static,1.5,0.3,0.8,0.95,2.4,0.54,1.5505263157894729,1.3399999999999996,4.076842105263161,5.0,0.9231578947368391,1.1685566019604068,-0.9504942427387901,-0.09750005156037661
search_54,static,1.5,0.6,0.4,0.8,1.8,0.5466666666666665,1.9466666666666668,0.9466666666666692,4.946666666666682,5.0,0.05333333333331769,1.0084033613445356,-0.963507742892522,-0.35999552983563304
search_55,static,1.5,0.6,0.4,0.8,2.1,0.7466666666666671,1.7716666666666665,1.1466666666666694,4.771666666666778,5.0,0.2283333333332216,1.036997029435574,-0.9655094841604198,-0.35999552983563304
search_56,static,1.5,0.6,0.4,0.8,2.4,0.9466666666666665,1.5966666666666671,1.3466666666666716,4.5966666666662555,5.0,0.40333333333374455,1.0672595886604401,-0.9673860540579204,-0.35999552983563304
search_57,static,1.5,0.6,0.4,0.9,1.8,0.5333333333333337,1.822222222222222,0.9333333333333335,4.488888888888888,5.0,0.511111111111112,1.086792452830189,-0.9514060935610189,-0.19000001484087
search_58,static,1.5,0.6,0.4,0.9,2.1,0.7333333333333334,1.6888888888888882,1.1333333333333326,4.355555555555558,5.0,0.6444444444444422,1.1119691119691115,-0.9548524726547913,-0.19000001484087
search_59,static,1.5,0.6,0.4,0.9,2.4,0.9333333333333335,1.555555555555555,1.3333333333333335,4.2222222222222445,5.0,0.7777777777777555,1.138339920948612,-0.9580203763408011,-0.19000001484087
search_60,static,1.5,0.6,0.4,0.95,1.8,0.5266666666666665,1.7687719298248603,0.9266666666666665,4.295087719298247,5.0,0.7049122807017527,1.1237754913437248,-0.9495732528370256,-0.09750005156037661
search_61,static,1.5,0.6,0.4,0.95,2.1,0.7266666666666666,1.652982456140351,1.1266666666666667,4.179298245614035,5.0,0.8207017543859649,1.1470976668134079,-0.9518298686206038,-0.09750005156037661
search_62,static,1.5,0.6,0.4,0.95,2.4,0.9266666666666664,1.5371929824561414,1.3266666666666664,4.063508771929826,5.0,0.9364912280701736,1.1714083873868086,-0.9539449168162123,-0.09750005156037661
search_63,static,1.5,0.6,0.8,0.8,1.8,0.24000000000000044,2.0399999999999996,1.0400000000000003,5.040000000000006,5.0,-0.04000000000000625,0.9937888198757754,-0.9606502196952634,-0.35999552983563304
search_64,static,1.5,0.6,0.8,0.8,2.1,0.44000000000000017,1.8649999999999998,1.2400000000000009,4.86500000000004,5.0,0.13499999999995982,1.02154828411811,-0.962813983582924,-0.35999552983563304
search_65,static,1.5,0.6,0.8,0.8,2.4,0.6399999999999997,1.69,1.440000000000001,4.690000000000247,5.0,0.3099999999997527,1.0509031198685945,-0.9648457249361829,-0.35999552983563304
search_66,static,1.5,0.6,0.8,0.9,1.8,0.2133333333333336,1.9022222222218357,1.0133333333333328,4.568888888888887,5.0,0.4311111111111128,1.07222635889799,-0.9514060935607668,-0.19000001484087
search_67,static,1.5,0.6,0.8,0.9,2.1,0.4133333333333338,1.7688888888888878,1.2133333333333332,4.435555555555557,5.0,0.564444444444443,1.0967250571210967,-0.9548524726547911,-0.19000001484087
search_68,static,1.5,0.6,0.8,0.9,2.4,0.6133333333333333,1.6355555555555563,1.4133333333333338,4.30222222222223,5.0,0.6977777777777696,1.1223694466095073,-0.9580203763075429,-0.19000001484087
search_69,static,1.5,0.6,0.8,0.95,1.8,0.20000000000000018,1.8421052631579733,0.9999999999999997,4.368421052631579,5.0,0.6315789473684212,1.1094890510948905,-0.9457716853136059,-0.09750005156037661
search_70,static,1.5,0.6,0.8,0.95,2.1,0.40000000000000013,1.7263157894732974,1.2000000000000002,4.252631578947367,5.0,0.7473684210526326,1.1322160148975793,-0.9482059073619183,-0.09750005156037661
search_71,static,1.5,0.6,0.8,0.95,2.4,0.5999999999999999,1.6105263157894738,1.4000000000000001,4.136842105263158,5.0,0.8631578947368421,1.155893536121673,-0.9504942427387907,-0.09750005156037661
search_72,static,1.8,0.3,0.4,0.8,1.8,0.16388888888888875,1.5638888888888904,0.5638888888886165,4.5638888888886795,5.0,0.4361111111113205,1.0731252911039038,-0.9623439346978654,-0.35999552983563304
search_73,static,1.8,0.3,0.4,0.8,2.1,0.3305555555555557,1.3555555555555818,0.7305555555555051,4.355555555555556,5.0,0.6444444444444439,1.111969111969112,-0.9669866718359812,-0.35999552983563304
search_74,static,1.8,0.3,0.4,0.8,2.4,0.4972222222222218,1.1472222222225086,0.8972222222222221,4.14722222222222,5.0,0.8527777777777796,1.153730595893841,-0.9637267335450759,-0.35999552983563304
search_75,static,1.8,0.3,0.4,0.9,1.8,0.1527777777777779,1.4416666666666673,0.552777777777803,4.108333333333416,5.0,0.891666666666584,1.1618759455370475,-0.9511068969918248,-0.19000001484087
search_76,static,1.8,0.3,0.4,0.9,2.1,0.3194444444444444,1.2750000000000012,0.7194444444444799,3.9416666666671625,5.0,1.0583333333328375,1.1981279251168935,-0.9577875396556378,-0.19000001484087
search_77,static,1.8,0.3,0.4,0.9,2.4,0.48611111111111094,1.1083333333333445,0.8861111111111575,3.7750000000000004,5.0,1.2249999999999996,1.2367149758454106,-0.9545532448972317,-0.19000001484087
search_78,static,1.8,0.3,0.4,0.95,1.8,0.14722222222222214,1.3893274853801172,0.5472222222222267,3.9156432748538252,5.0,1.0843567251461748,1.2039935091724143,-0.9498772629637874,-0.09750005156037661
search_79,static,1.8,0.3,0.4,0.95,2.1,0.31388888888888933,1.2402046783625722,0.7138888888888941,3.766520467836406,5.0,1.233479532163594,1.238744729618799,-0.9446345422936,-0.09750005156037661
search_80,static,1.8,0.3,0.4,0.95,2.4,0.4805555555555556,1.0910818713450303,0.8805555555555631,3.6173976608184746,5.0,1.3826023391815254,1.2755616422390539,-0.9507920197216195,-0.09750005156037661
search_81,static,1.8,0.3,0.8,0.8,1.8,-0.12500000000000022,1.6750000000000003,0.6750000000001637,4.675000000000285,5.0,0.3249999999997151,1.0534979423867818,-0.9667798031740559,-0.35999552983563304
search_82,static,1.8,0.3,0.8,0.8,2.1,0.04166666666666652,1.4666666666666734,0.8416666666669143,4.466666666666667,5.0,0.5333333333333332,1.0909090909090908,-0.9635077406674478,-0.35999552983563304
search_83,static,1.8,0.3,0.8,0.8,2.4,0.20833333333333282,1.258333333333416,1.0083333333336826,4.258333333333333,5.0,0.7416666666666671,1.1310751104565537,-0.9679902436238403,-0.35999552983563304
search_84,static,1.8,0.3,0.8,0.9,1.8,-0.14722222222222237,1.5416666666666665,0.6527777777777826,4.208333333333359,5.0,0.7916666666666412,1.1411589895988061,-0.9511068969918242,-0.19000001484087
search_85,static,1.8,0.3,0.8,0.9,2.1,0.019444444444444375,1.375,0.8194444444444517,4.041666666666839,5.0,0.9583333333331607,1.1761102603368694,-0.9577875396556371,-0.19000001484087
search_86,static,1.8,0.3,0.8,0.9,2.4,0.18611111111111067,1.2083333333333366,0.9861111111111219,3.8749999999999662,5.0,1.1250000000000338,1.2132701421801024,-0.9545532448710682,-0.19000001484087
search_87,static,1.8,0.3,0.8,0.95,1.8,-0.15833333333333344,1.4837719298245609,0.6416666666666672,4.010087719298251,5.0,0.9899122807017493,1.1829752736116732,-0.9467490843556159,-0.09750005156037661
search_88,static,1.8,0.3,0.8,0.95,2.1,0.008333333333333304,1.334649122807018,0.8083333333333341,3.86096491228075,5.0,1.1390350877192499,1.2165068778657664,-0.9526934322584989,-0.09750005156037661
search_89,static,1.8,0.3,0.8,0.95,2.4,0.17499999999999982,1.1855263157894744,0.9750000000000014,3.711842105263434,5.0,1.2881578947365662,1.2519948519947846,-0.9477275289162238,-0.09750005156037661
search_90,static,1.8,0.6,0.4,0.8,1.8,0.23888888888888868,1.6388888888888902,0.6388888888891575,4.6388888888892925,5.0,0.3611111111107075,1.0597976080956053,-0.9681995012852241,-0.35999552983563304
search_91,static,1.8,0.6,0.4,0.8,2.1,0.40555555555555567,1.4305555555555656,0.8055555555559419,4.430555555555554,5.0,0.5694444444444464,1.0976655550262033,-0.9650747797526178,-0.35999552983563304
search_92,static,1.8,0.6,0.4,0.8,2.4,0.5722222222222222,1.2222222222223453,0.9722222222217449,4.222222222222223,5.0,0.7777777777777768,1.1383399209486165,-0.961618595067479,-0.35999552983563304
search_93,static,1.8,0.6,0.4,0.9,1.8,0.22777777777777766,1.5166666666666666,0.627777777777785,4.183333333333366,5.0,0.8166666666666336,1.1462686567164113,-0.9585524848345119,-0.19000001484087
search_94,static,1.8,0.6,0.4,0.9,2.1,0.39444444444444493,1.35,0.794444444444455,4.016666666666893,5.0,0.9833333333331069,1.1815384615384121,-0.9554016807443871,-0.19000001484087
search_95,static,1.8,0.6,0.4,0.9,2.4,0.561111111111111,1.1833333333333376,0.9611111111111271,3.849999999999999,5.0,1.1500000000000008,1.2190476190476194,-0.9519780455518048,-0.19000001484087
search_96,static,1.8,0.6,0.4,0.95,1.8,0.2222222222222221,1.4643274853801174,0.6222222222222231,3.990643274853811,5.0,1.0093567251461888,1.187242351920154,-0.9470708295824255,-0.09750005156037661
search_97,static,1.8,0.6,0.4,0.95,2.1,0.38888888888888895,1.3152046783625728,0.7888888888888903,3.8415204678363186,5.0,1.1584795321636814,1.2210197478522673,-0.9529776201059322,-0.09750005156037661
search_98,static,1.8,0.6,0.4,0.95,2.4,0.5555555555555554,1.1660818713450305,0.9555555555555578,3.692397660819054,5.0,1.3076023391809461,1.2567753789617901,-0.948042769165552,-0.09750005156037661
search_99,static,1.8,0.6,0.8,0.8,1.8,-0.050000000000000266,1.75,0.7500000000000567,4.750000000000138,5.0,0.24999999999986233,1.0406504065040418,-0.9648552829421185,-0.35999552983563304
search_100,static,1.8,0.6,0.8,0.8,2.1,0.11666666666666647,1.5416666666666692,0.9166666666667616,4.541666666666629,5.0,0.45833333333337123,1.0771388499298806,-0.9613854354538465,-0.35999552983563304
search_101,static,1.8,0.6,0.8,0.8,2.4,0.2833333333333332,1.3333333333333672,1.083333333333479,4.333333333333331,5.0,0.6666666666666687,1.1162790697674425,-0.9661410143191698,-0.35999552983563304
search_102,static,1.8,0.6,0.8,0.9,1.8,-0.07222222222222263,1.6166666666666671,0.7277777777777791,4.283333333333342,5.0,0.7166666666666579,1.1260997067448664,-0.9585524848345122,-0.19000001484087
search_103,static,1.8,0.6,0.8,0.9,2.1,0.09444444444444411,1.4500000000000002,0.8944444444444467,4.116666666666743,5.0,0.8833333333332574,1.1601208459214343,-0.9554016807443871,-0.19000001484087
search_104,static,1.8,0.6,0.8,0.9,2.4,0.26111111111111085,1.2833333333333345,1.0611111111111151,3.9500000000004563,5.0,1.0499999999995437,1.1962616822428886,-0.9519780455296497,-0.19000001484087
search_105,static,1.8,0.6,0.8,0.95,1.8,-0.0833333333333337,1.5587719298245615,0.7166666666666677,4.085087719298249,5.0,0.9149122807017509,1.1667999360307044,-0.9547595594649472,-0.09750005156037661
search_106,static,1.8,0.6,0.8,0.95,2.1,0.08333333333333348,1.4096491228070174,0.8833333333333339,3.935964912280719,5.0,1.0640350877192808,1.199408186749955,-0.9500523610967332,-0.09750005156037661
search_107,static,1.8,0.6,0.8,0.95,2.4,0.24999999999999978,1.2605263157894737,1.0500000000000012,3.7868421052632755,5.0,1.2131578947367245,1.2338914256722195,-0.9447996121489824,-0.09750005156037661
search_108,static,2.1,0.3,0.4,0.8,1.8,-0.06666666666666643,1.3333333333333655,0.3333333333333327,4.33333333333333,5.0,0.6666666666666696,1.1162790697674425,-0.9661509241931215,-0.35999552983563304
search_109,static,2.1,0.3,0.4,0.8,2.1,0.07619047619047636,1.1011904761909443,0.4761904761904758,4.101190476190476,5.0,0.8988095238095237,1.1633845487989611,-0.9611768146085774,-0.35999552983563304
search_110,static,2.1,0.3,0.4,0.8,2.4,0.21904761904761894,0.8690476190476188,0.6190476190476195,3.8690476190476186,5.0,1.1309523809523814,1.2146407591504746,-0.9644661806704343,-0.35999552983563304
search_111,static,2.1,0.3,0.4,0.9,1.8,-0.07619047619047659,1.212698412698415,0.32380952380944256,3.8793650793650043,5.0,1.1206349206349957,1.2122669873722363,-0.9567064858013915,-0.19000001484087012
search_112,static,2.1,0.3,0.4,0.9,2.1,0.06666666666666665,1.0222222222222574,0.46666666666666673,3.6888888888888878,5.0,1.3111111111111122,1.2576419213973802,-0.9514060810042176,-0.19000001484087012
search_113,static,2.1,0.3,0.4,0.9,2.4,0.20952380952380967,0.8317460317464296,0.6095238095238085,3.498412698412697,5.0,1.501587301587303,1.3065456902138695,-0.9562277885883942,-0.19000001484087012
search_114,static,2.1,0.3,0.4,0.95,1.8,-0.08095238095238089,1.1611528822055135,0.3190476190478488,3.687468671679556,5.0,1.312531328320444,1.257993004581418,-0.9452049025689333,-0.09750005156037661
search_115,static,2.1,0.3,0.4,0.95,2.1,0.06190476190476213,0.9882205513784534,0.461904761905082,3.5145363408521293,5.0,1.4854636591478707,1.3022591667091648,-0.9492695908152117,-0.09750005156037661
search_116,static,2.1,0.3,0.4,0.95,2.4,0.2047619047619047,0.8152882205514809,0.6047619047623297,3.3416040100250597,5.0,1.6583959899749403,1.349754215339078,-0.9529859542219913,-0.09750005156037661
search_117,static,2.1,0.3,0.8,0.8,1.8,-0.34285714285714275,1.4571428571428644,0.45714285714285685,4.4571428571428555,5.0,0.5428571428571445,1.0926829268292686,-0.9675702392760941,-0.35999552983563304
search_118,static,2.1,0.3,0.8,0.8,2.1,-0.19999999999999996,1.225000000000119,0.5999999999999999,4.2250000000000005,5.0,0.7749999999999995,1.1377777777777778,-0.9628139835829839,-0.35999552983563304
search_119,static,2.1,0.3,0.8,0.8,2.4,-0.057142857142857384,0.9928571428571431,0.742857142857142,3.9928571428571407,5.0,1.0071428571428593,1.1867549668874178,-0.9659590880208315,-0.35999552983563304
search_120,static,2.1,0.3,0.8,0.9,1.8,-0.36190476190476195,1.3269841269841272,0.4380952380954044,3.993650793651082,5.0,1.0063492063489181,1.1865803413772174,-0.9538944875024501,-0.19000001484087012
search_121,static,2.1,0.3,0.8,0.9,2.1,-0.21904761904761894,1.1365079365079436,0.5809523809526486,3.8031746031746017,5.0,1.1968253968253983,1.2300183038438077,-0.9584802598201461,-0.19000001484087012
search_122,static,2.1,0.3,0.8,0.9,2.4,-0.07619047619047659,0.9460317460318433,0.7238095238099246,3.612698412698411,5.0,1.387301587301589,1.27675744141862,-0.9533861375441369,-0.19000001484087012
search_123,static,2.1,0.3,0.8,0.95,1.8,-0.37142857142857144,1.2706766917293226,0.4285714285714644,3.79699248120311,5.0,1.2030075187968898,1.2314814814814572,-0.9506075958616229,-0.09750005156037661
search_124,static,2.1,0.3,0.8,0.95,2.1,-0.22857142857142887,1.0977443609022566,0.5714285714286327,3.624060150375647,5.0,1.375939849624353,1.273870098772897,-0.954253770494801,-0.09750005156037661
search_125,static,2.1,0.3,0.8,0.95,2.4,-0.08571428571428608,0.9248120300752103,0.7142857142858078,3.4511278195488733,5.0,1.5488721804511267,1.3192808431494107,-0.9473192944936052,-0.09750005156037661
search_126,static,2.1,0.6,0.4,0.8,1.8,0.01904761904761899,1.4190476190476309,0.41904761904761934,4.419047619047616,5.0,0.5809523809523842,1.0998363338788877,-0.9682560569892545,-0.35999552983563304
search_127,static,2.1,0.6,0.4,0.8,2.1,0.1619047619047619,1.1869047619049464,0.5619047619047624,4.186904761904762,5.0,0.8130952380952383,1.1455359045386746,-0.9636057504193567,-0.35999552983563304
search_128,static,2.1,0.6,0.4,0.8,2.4,0.3047619047619042,0.954761904761906,0.7047619047619063,3.954761904761906,5.0,1.0452380952380942,1.1951978657180966,-0.9666806596567421,-0.35999552983563304
search_129,static,2.1,0.6,0.4,0.9,1.8,0.009523809523809624,1.2984126984126982,0.40952380952406786,3.9650793650797533,5.0,1.0349206349202467,1.1928994082839375,-0.9593380002662723,-0.19000001484087012
search_130,static,2.1,0.6,0.4,0.9,2.1,0.1523809523809522,1.107936507936519,0.5523809523813513,3.7746031746031754,5.0,1.2253968253968246,1.23680981595092,-0.9543760952917738,-0.19000001484087012
search_131,static,2.1,0.6,0.4,0.9,2.4,0.295238095238095,0.9174603174604552,0.6952380952376669,3.5841269841269856,5.0,1.4158730158730144,1.2840764331210186,-0.958887213739513,-0.19000001484087012
search_132,static,2.1,0.6,0.4,0.95,1.8,0.004761904761904742,1.246867167919799,0.404761904761959,3.773182957393619,5.0,1.2268170426063811,1.237149362918431,-0.94851621343345,-0.09750005156037661
search_133,static,2.1,0.6,0.4,0.95,2.1,0.1476190476190472,1.0739348370927342,0.5476190476191365,3.6002506265663268,5.0,1.3997493734336732,1.2799358428149192,-0.9523253621595608,-0.09750005156037661
search_134,static,2.1,0.6,0.4,0.95,2.4,0.2904761904761902,0.9010025062656954,0.6904761904763224,3.427318295739347,5.0,1.5726817042606531,1.325787861481751,-0.9450856062474073,-0.09750005156037661
