design,s,type_iv,samples_with_type_iv,unresolved
shift_edge_1,-1.5,0,0,0
shift_edge_1,-1.25,0,0,0
shift_edge_1,-1.0,0,0,0
shift_edge_1,-0.75,0,0,0
shift_edge_1,-0.5,0,0,0
shift_edge_1,-0.25,0,0,0
shift_edge_1,0.0,0,0,0
shift_edge_1,0.25,0,0,0
shift_edge_1,0.5,0,0,0
shift_edge_1,0.75,0,0,0
shift_edge_1,1.0,0,0,0
shift_edge_1,1.25,0,0,0
shift_edge_1,1.5,0,0,0
shift_edge_1,1.75,0,0,0
shift_edge_1,2.0,0,0,0
shift_edge_1,2.25,0,0,0
shift_edge_1,2.5,0,0,0
shift_edge_1,2.75,0,0,0
shift_edge_1,3.0,0,0,0
shift_edge_1,3.25,0,0,0
shift_edge_1,3.5,0,0,0
shift_edge_1,3.75,0,0,0
shift_edge_1,4.0,0,0,0
shift_edge_1,4.25,0,0,0
shift_edge_1,4.5,0,0,0
shift_edge_1,4.75,0,0,0
shift_edge_1,5.0,0,0,0
shift_edge_1,5.25,0,0,0
shift_edge_1,5.5,0,0,0
shift_edge_1,5.75,0,0,0
shift_edge_1,6.0,0,0,0
shift_edge_1,6.25,0,0,0
shift_edge_1,6.5,0,0,0
shift_edge_1,6.75,0,0,0
shift_edge_1,7.0,0,0,0
shift_edge_1,7.25,0,0,0
shift_edge_1,7.5,0,0,0
shift_edge_1,7.75,0,0,0
shift_edge_1,8.0,0,0,0
shift_edge_1,8.25,0,0,0
shift_edge_1,8.5,0,0,0
shift_edge_1,8.75,0,0,0
shift_edge_1,9.0,0,0,0
shift_edge_1,9.25,0,0,0
shift_edge_1,9.5,0,0,0
shift_edge_1,9.75,0,0,0
shift_edge_1,10.0,0,0,0
hole_edge_0p5,-3.5,0,0,0
hole_edge_0p5,-3.25,0,0,0
hole_edge_0p5,-3.0,0,0,0
hole_edge_0p5,-2.75,0,0,0
hole_edge_0p5,-2.5,0,0,0
hole_edge_0p5,-2.25,0,0,0
hole_edge_0p5,-2.0,0,0,0
hole_edge_0p5,-1.75,0,0,0
hole_edge_0p5,-1.5,0,0,0
hole_edge_0p5,-1.25,0,0,0
hole_edge_0p5,-1.0,0,0,0
hole_edge_0p5,-0.75,0,0,0
hole_edge_0p5,-0.5,0,0,0
hole_edge_0p5,-0.25,0,0,0
hole_edge_0p5,0.0,0,0,0
hole_edge_0p5,0.25,0,0,0
hole_edge_0p5,0.5,0,0,0
hole_edge_0p5,0.75,0,0,0
hole_edge_0p5,1.0,0,0,0
hole_edge_0p5,1.25,0,0,0
hole_edge_0p5,1.5,0,0,0
hole_edge_0p5,1.75,0,0,0
hole_edge_0p5,2.0,0,0,0
hole_edge_0p5,2.25,0,0,0
hole_edge_0p5,2.5,0,0,0
hole_edge_0p5,2.75,0,0,0
hole_edge_0p5,3.0,0,0,0
hole_edge_0p5,3.25,0,0,0
hole_edge_0p5,3.5,0,0,0
hole_edge_0p5,3.75,0,0,0
hole_edge_0p5,4.0,0,0,0
hole_edge_0p5,4.25,0,0,0
hole_edge_0p5,4.5,0,0,0
hole_edge_0p5,4.75,0,0,0
hole_edge_0p5,5.0,0,0,0
hole_edge_0p5,5.25,0,0,0
hole_edge_0p5,5.5,0,0,0
hole_edge_0p5,5.75,0,0,0
hole_edge_0p5,6.0,0,0,0
hole_edge_0p5,6.25,0,0,0
hole_edge_0p5,6.5,0,0,0
hole_edge_0p5,6.75,0,0,0
hole_edge_0p5,7.0,0,0,0
hole_edge_0p5,7.25,0,0,0
hole_edge_0p5,7.5,0,0,0
hole_edge_0p5,7.75,0,0,0
hole_edge_0p5,8.0,0,0,0
hole_edge_0p5,8.25,0,0,0
hole_edge_0p5,8.5,0,0,0
hole_edge_0p5,8.75,0,0,0
hole_edge_0p5,9.0,0,0,0
hole_edge_0p5,9.25,0,0,0
hole_edge_0p5,9.5,0,0,0
hole_edge_0p5,9.75,0,0,0
hole_edge_0p5,10.0,0,0,0
slope_0,-3.5,0,0,0
slope_0,-3.25,0,0,0
slope_0,-3.0,0,0,0
slope_0,-2.75,0,0,0
slope_0,-2.5,0,0,0
slope_0,-2.25,0,0,0
slope_0,-2.0,0,0,0
slope_0,-1.75,0,0,0
slope_0,-1.5,0,0,0
slope_0,-1.25,0,0,0
slope_0,-1.0,0,0,0
slope_0,-0.75,0,0,0
slope_0,-0.5,0,0,0
slope_0,-0.25,0,0,0
slope_0,0.0,0,0,0
slope_0,0.25,0,0,0
slope_0,0.5,0,0,0
slope_0,0.75,0,0,0
slope_0,1.0,5,5,0
slope_0,1.25,9,9,0
slope_0,1.5,10,10,0
slope_0,1.75,10,10,0
slope_0,2.0,10,10,0
slope_0,2.25,10,10,0
slope_0,2.5,10,10,0
slope_0,2.75,10,10,0
slope_0,3.0,10,10,0
slope_0,3.25,10,10,0
slope_0,3.5,10,10,0
slope_0,3.75,10,10,0
slope_0,4.0,10,10,0
slope_0,4.25,10,10,0
slope_0,4.5,10,10,0
slope_0,4.75,10,10,0
slope_0,5.0,10,10,0
slope_0,5.25,10,10,0
slope_0,5.5,10,10,0
slope_0,5.75,10,10,0
slope_0,6.0,10,10,0
slope_0,6.25,9,9,0
slope_0,6.5,5,5,0
slope_0,6.75,0,0,0
slope_0,7.0,0,0,0
slope_0,7.25,0,0,0
slope_0,7.5,0,0,0
slope_0,7.75,0,0,0
slope_0,8.0,0,0,0
slope_0,8.25,0,0,0
slope_0,8.5,0,0,0
slope_0,8.75,0,0,0
slope_0,9.0,0,0,0
slope_0,9.25,0,0,0
slope_0,9.5,0,0,0
slope_0,9.75,0,0,0
slope_0,10.0,0,0,0
sheath_e0p5,-3.5,0,0,0
sheath_e0p5,-3.25,0,0,0
sheath_e0p5,-3.0,0,0,0
sheath_e0p5,-2.75,0,0,0
sheath_e0p5,-2.5,0,0,0
sheath_e0p5,-2.25,0,0,0
sheath_e0p5,-2.0,0,0,0
sheath_e0p5,-1.75,0,0,0
sheath_e0p5,-1.5,0,0,0
sheath_e0p5,-1.25,0,0,0
sheath_e0p5,-1.0,0,0,0
sheath_e0p5,-0.75,0,0,0
sheath_e0p5,-0.5,0,0,0
sheath_e0p5,-0.25,0,0,0
sheath_e0p5,0.0,0,0,0
sheath_e0p5,0.25,0,0,0
sheath_e0p5,0.5,0,0,0
sheath_e0p5,0.75,0,0,0
sheath_e0p5,1.0,0,0,0
sheath_e0p5,1.25,0,0,0
sheath_e0p5,1.5,0,0,0
sheath_e0p5,1.75,0,0,0
sheath_e0p5,2.0,0,0,0
sheath_e0p5,2.25,0,0,0
sheath_e0p5,2.5,0,0,0
sheath_e0p5,2.75,0,0,0
sheath_e0p5,3.0,0,0,0
sheath_e0p5,3.25,0,0,0
sheath_e0p5,3.5,0,0,0
sheath_e0p5,3.75,0,0,0
sheath_e0p5,4.0,0,0,0
sheath_e0p5,4.25,0,0,0
sheath_e0p5,4.5,0,0,0
sheath_e0p5,4.75,0,0,0
sheath_e0p5,5.0,0,0,0
sheath_e0p5,5.25,0,0,0
sheath_e0p5,5.5,0,0,0
sheath_e0p5,5.75,0,0,0
sheath_e0p5,6.0,0,0,0
sheath_e0p5,6.25,0,0,0
sheath_e0p5,6.5,0,0,0
sheath_e0p5,6.75,0,0,0
sheath_e0p5,7.0,0,0,0
sheath_e0p5,7.25,0,0,0
sheath_e0p5,7.5,0,0,0
sheath_e0p5,7.75,0,0,0
sheath_e0p5,8.0,0,0,0
sheath_e0p5,8.25,0,0,0
sheath_e0p5,8.5,0,0,0
sheath_e0p5,8.75,0,0,0
sheath_e0p5,9.0,0,0,0
sheath_e0p5,9.25,0,0,0
sheath_e0p5,9.5,0,0,0
sheath_e0p5,9.75,0,0,0
sheath_e0p5,10.0,0,0,0
no_sheath,-3.5,0,0,0
no_sheath,-3.25,0,0,0
no_sheath,-3.0,0,0,0
no_sheath,-2.75,0,0,0
no_sheath,-2.5,0,0,0
no_sheath,-2.25,0,0,0
no_sheath,-2.0,0,0,0
no_sheath,-1.75,0,0,0
no_sheath,-1.5,0,0,0
no_sheath,-1.25,0,0,0
no_sheath,-1.0,0,0,0
no_sheath,-0.75,0,0,0
no_sheath,-0.5,0,0,0
no_sheath,-0.25,0,0,0
no_sheath,0.0,0,0,0
no_sheath,0.25,3200,80,0
no_sheath,0.5,3476,82,0
no_sheath,0.75,3534,82,0
no_sheath,1.0,3544,82,0
no_sheath,1.25,3530,82,0
no_sheath,1.5,3530,82,0
no_sheath,1.75,3530,82,0
no_sheath,2.0,3530,82,0
no_sheath,2.25,3530,82,0
no_sheath,2.5,3530,82,0
no_sheath,2.75,3530,82,0
no_sheath,3.0,3530,82,0
no_sheath,3.25,3530,82,0
no_sheath,3.5,3530,82,0
no_sheath,3.75,3530,82,0
no_sheath,4.0,3530,82,0
no_sheath,4.25,3530,82,0
no_sheath,4.5,3530,82,0
no_sheath,4.75,3530,82,0
no_sheath,5.0,3530,82,0
no_sheath,5.25,3530,82,0
no_sheath,5.5,3530,82,0
no_sheath,5.75,3530,82,0
no_sheath,6.0,3530,82,0
no_sheath,6.25,3530,82,0
no_sheath,6.5,3544,82,0
no_sheath,6.75,3534,82,0
no_sheath,7.0,3476,82,0
no_sheath,7.25,3200,80,0
no_sheath,7.5,0,0,0
no_sheath,7.75,0,0,0
no_sheath,8.0,0,0,0
no_sheath,8.25,0,0,0
no_sheath,8.5,0,0,0
no_sheath,8.75,0,0,0
no_sheath,9.0,0,0,0
no_sheath,9.25,0,0,0
no_sheath,9.5,0,0,0
no_sheath,9.75,0,0,0
no_sheath,10.0,0,0,0
