arrangement,coupling,coordinate,pressure_derivative,lapse_term,angular_term,residual,relative_residual
inner_pair,8.0,-1.5,5.7522373522630915e-06,-7.829619686105069e-06,2.0771266256735846e-06,-2.557081683923456e-10,-1.6329806191671105e-05
inner_pair,8.0,-2.8,-0.00022559035467182865,-0.0001010870623280004,0.0003266711183864259,-6.29861340314215e-09,-9.640510481007592e-06
inner_pair,8.0,-4.0,-3.5759714621374386e-05,-5.27232015393222e-09,3.576498175232981e-05,-5.1891985107239795e-12,-7.254579591574107e-08
inner_pair,8.0,-5.5,-4.857439464749271e-06,-7.827868981150064e-16,4.857439906703695e-06,4.4117163620346423e-13,4.541195204793719e-08
inner_pair,64.0,-1.5,5.916408393755404e-06,-8.047883607060236e-06,2.131193365491074e-06,-2.8184781375739326e-10,-1.7510985679710904e-05
inner_pair,64.0,-2.8,-0.0002510937310646839,-0.0001135061538309224,0.00036459229139025417,-7.593505352125347e-09,-1.0413585881849222e-05
inner_pair,64.0,-4.0,-3.7687251223697356e-05,-5.572578989162819e-09,3.769281687058227e-05,-6.932104250432364e-12,-9.19552342929207e-08
inner_pair,64.0,-5.5,-5.009831731877644e-06,-8.084002212333658e-16,5.0098321624381205e-06,4.2975207607495215e-13,4.289086745555217e-08
spanning_pair,1.0,-1.5,1.437620423750025e-06,-2.5007940454586698e-06,1.0631134400090718e-06,-6.018169957285905e-11,-1.2032662951244314e-05
spanning_pair,1.0,-2.8,-3.137769032235765e-05,-2.4555929439885974e-05,5.593347951209694e-05,-1.4025014668101994e-10,-1.253721135086138e-06
spanning_pair,1.0,-4.0,-4.022062380066965e-05,-9.09655209437808e-09,4.022982138186826e-05,1.0102910423125024e-10,1.255651002393967e-06
spanning_pair,1.0,-5.5,-0.0003744998939162024,-8.67056852689968e-14,0.0003745163141176887,1.6420114780618233e-08,2.1922242272725933e-05
spanning_pair,8.0,-1.5,1.4839181281417452e-06,-2.587925532632217e-06,1.1039409146161325e-06,-6.648987433927357e-11,-1.2846337279070833e-05
spanning_pair,8.0,-2.8,-3.74725104409871e-05,-3.172472293011796e-05,6.919710309014269e-05,-1.3028096236913402e-10,-9.413749557996863e-07
spanning_pair,8.0,-4.0,-6.847672251461583e-05,-1.5957936128416593e-08,6.849293549034145e-05,2.550395972021483e-10,1.861798375326026e-06
spanning_pair,8.0,-5.5,-0.001077478623334046,-2.475866835098065e-13,0.001077540849616412,6.222603477932728e-08,2.887492923067835e-05
spanning_pair,64.0,-1.5,1.4914531149618298e-06,-2.6011203981931507e-06,1.109599886495158e-06,-6.739673616279677e-11,-1.2955495902410597e-05
spanning_pair,64.0,-2.8,-3.8876367115514636e-05,-3.3390226411940964e-05,7.226646798883199e-05,-1.2553862360461035e-10,-8.685806713536147e-07
spanning_pair,64.0,-4.0,-7.713050857248076e-05,-1.801805572596517e-08,7.71488474484984e-05,3.2082029166515674e-10,2.0792336459703384e-06
spanning_pair,64.0,-5.5,-0.0014647833993148653,-3.3508135976001537e-13,0.001464882447426911,9.90477769643918e-08,3.380855774497935e-05
outer,1.0,-1.5,4.600449500455552e-09,-7.43007871869018e-09,2.8295628087383417e-09,-6.640949628620909e-14,-4.468983141596888e-06
outer,1.0,-2.8,-8.922857446548834e-06,-1.003495619816159e-05,1.8957817192687042e-05,3.547976616549795e-12,9.357556601828463e-08
outer,1.0,-4.0,-2.976751841484684e-05,-7.2880230791384e-09,2.977490540994088e-05,9.897201490299953e-11,1.662006613161216e-06
outer,1.0,-5.5,-0.0003722990496592647,-8.626963962167562e-14,0.00037231546956432825,1.6419818793913035e-08,2.2051435162896846e-05
outer,8.0,-1.5,4.399304088863773e-09,-8.080381170498355e-09,3.6809904431485915e-09,-8.663848599030497e-14,-5.361068286076976e-06
outer,8.0,-2.8,-1.4420752966429391e-05,-1.647220668570882e-05,3.0892977325192395e-05,1.767305418898463e-11,2.860368403164124e-07
outer,8.0,-4.0,-5.750663079022936e-05,-1.4015254283655422e-08,5.7520898943954646e-05,2.5289944163636117e-10,2.198331408550825e-06
outer,8.0,-5.5,-0.001075105010145304,-2.471018255369342e-13,0.0010751672361114903,6.22257190845913e-08,2.8938530544568676e-05
outer,64.0,-1.5,4.2722324310431485e-09,-8.109827719350366e-09,3.837505025555153e-09,-9.026275206429509e-14,-5.565053753607528e-06
outer,64.0,-2.8,-1.573349122523092e-05,-1.8012436646182817e-05,3.3745950926893526e-05,2.3055479793647644e-11,3.416037633586501e-07
outer,64.0,-4.0,-6.607171022718804e-05,-1.6051561479731337e-08,6.608808045462158e-05,3.1866595381338167e-10,2.410924329325093e-06
outer,64.0,-5.5,-0.0014623782469016938,-3.3458773722760615e-13,0.001462477294693726,9.904745744437372e-08,3.386405107002852e-05
